Start Time:  5/5/2017 10:33:27 AM         Time Completed:  5/5/2017 10:35:03 AM     Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0315B\FORCexp0315B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#629.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#629.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0315B\FORCexp0315B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#629.dat

***DATA***

Field(G)	 Moment(emu)	
-2072.98 	-0.0046688 	
-2065.72 	-0.00464969 	
-2055.96 	-0.00467219 	
-2046.09 	-0.00467037 	
-2036 	-0.00472184 	
-2025.44 	-0.00466887 	
-2015.54 	-0.00465276 	
-2005.74 	-0.00471281 	
-1995.25 	-0.00466503 	
-1985.37 	-0.00464791 	
-1975.3 	-0.00464311 	
-1965.3 	-0.00463766 	
-1954.93 	-0.00463747 	
-1945.04 	-0.00463252 	
-1934.97 	-0.00464664 	
-1924.76 	-0.0046044 	
-1914.79 	-0.00461676 	
-1904.36 	-0.00463668 	
-1894.56 	-0.00461131 	
-1884.67 	-0.00462935 	
-1874.25 	-0.00459432 	
-1864.21 	-0.00460017 	
-1854.27 	-0.00457783 	
-1844.02 	-0.00458639 	
-1833.97 	-0.00456013 	
-1824.05 	-0.0046017 	
-1814.05 	-0.00457137 	
-1803.62 	-0.00457472 	
-1793.56 	-0.00456931 	
-1783.5 	-0.00456006 	
-1773.35 	-0.00455876 	
-1763.37 	-0.00454248 	
-1753.43 	-0.00455486 	
-1743.26 	-0.00450586 	
-1733.04 	-0.00452369 	
-1722.96 	-0.00450306 	
-1713.13 	-0.00450848 	
-1702.7 	-0.00452217 	
-1692.91 	-0.0045369 	
-1683.02 	-0.00450183 	
-1672.39 	-0.00451385 	
-1662.47 	-0.00451065 	
-1652.66 	-0.00452806 	
-1642.17 	-0.00448687 	
-1632.41 	-0.00450809 	
-1622.14 	-0.00454451 	
-1612.16 	-0.00451149 	
-1602.17 	-0.00450287 	
-1591.97 	-0.00449708 	
-1581.84 	-0.0044935 	
-1571.93 	-0.00447747 	
-1561.86 	-0.00447394 	
-1551.56 	-0.00448667 	
-1541.55 	-0.00446569 	
-1531.71 	-0.00443021 	
-1521.2 	-0.00445398 	
-1511.31 	-0.00445695 	
-1501.28 	-0.00444792 	
-1491.17 	-0.00445488 	
-1481.07 	-0.00443964 	
-1470.87 	-0.0043998 	
-1460.9 	-0.00440425 	
-1451.03 	-0.00440625 	
-1440.93 	-0.00441058 	
-1430.61 	-0.00437513 	
-1420.79 	-0.00440707 	
-1410.69 	-0.00438259 	
-1400.32 	-0.00437894 	
-1390.53 	-0.00434347 	
-1380.39 	-0.0043767 	
-1370.2 	-0.0043755 	
-1360.11 	-0.00434134 	
-1350.24 	-0.00440694 	
-1340.1 	-0.00437415 	
-1329.74 	-0.00439042 	
-1319.64 	-0.00433921 	
-1309.83 	-0.00435382 	
-1299.73 	-0.00431629 	
-1289.83 	-0.00431442 	
-1279.3 	-0.00431337 	
-1269.5 	-0.00434967 	
-1259.65 	-0.00432843 	
-1249.22 	-0.00430736 	
-1239.18 	-0.00427833 	
-1229.42 	-0.00423915 	
-1219.04 	-0.00429463 	
-1208.94 	-0.00431134 	
-1199.03 	-0.00430664 	
-1188.96 	-0.00429469 	
-1178.57 	-0.00428041 	
-1168.43 	-0.00423231 	
-1158.62 	-0.0042053 	
-1148.65 	-0.0042364 	
-1138.67 	-0.00423909 	
-1128.15 	-0.00423248 	
-1118.36 	-0.00422943 	
-1108.35 	-0.00422306 	
-1098 	-0.00422035 	
-1088.08 	-0.00420488 	
-1078.18 	-0.00419578 	
-1067.79 	-0.00419173 	
-1057.82 	-0.00419312 	
-1047.86 	-0.00416278 	
-1037.81 	-0.0041898 	
-1027.49 	-0.00417045 	
-1017.35 	-0.00411649 	
-1007.34 	-0.00410146 	
-997.476 	-0.00411822 	
-987.456 	-0.00411716 	
-976.971 	-0.00411144 	
-967.222 	-0.00416123 	
-957.229 	-0.00409945 	
-946.796 	-0.00406652 	
-936.94 	-0.00407543 	
-927.019 	-0.00411501 	
-916.744 	-0.00410542 	
-906.613 	-0.0040559 	
-896.727 	-0.00408771 	
-886.761 	-0.00408757 	
-876.228 	-0.00402176 	
-866.263 	-0.00407406 	
-856.252 	-0.00401066 	
-846.259 	-0.00405483 	
-836.341 	-0.00401752 	
-825.956 	-0.0040022 	
-816.025 	-0.00399202 	
-806.162 	-0.00402123 	
-795.929 	-0.00395618 	
-785.784 	-0.00397001 	
-775.712 	-0.00396088 	
-765.791 	-0.00395039 	
-755.286 	-0.00389473 	
-745.489 	-0.00393338 	
-735.603 	-0.00394902 	
-724.996 	-0.00398514 	
-715.23 	-0.0039715 	
-704.922 	-0.00394047 	
-695.122 	-0.00388759 	
-685.219 	-0.00389743 	
-674.722 	-0.00392924 	
-664.925 	-0.00391746 	
-655.029 	-0.0038805 	
-644.81 	-0.00386198 	
-634.53 	-0.00384469 	
-624.548 	-0.0038223 	
-614.72 	-0.00386752 	
-604.278 	-0.00381619 	
-594.334 	-0.00385993 	
-584.359 	-0.00381386 	
-574.154 	-0.00386661 	
-564.062 	-0.00383681 	
-554.173 	-0.00380837 	
-543.967 	-0.00376608 	
-533.776 	-0.00375534 	
-523.811 	-0.00377277 	
-513.874 	-0.00372402 	
-503.535 	-0.00374135 	
-493.583 	-0.00377558 	
-483.655 	-0.00375425 	
-473.352 	-0.00366855 	
-463.379 	-0.00365884 	
-453.355 	-0.00364619 	
-443.309 	-0.00368889 	
-432.897 	-0.00368424 	
-422.944 	-0.00372904 	
-412.81 	-0.0037106 	
-402.854 	-0.00364304 	
-392.96 	-0.00364892 	
-382.496 	-0.00359353 	
-372.697 	-0.00360636 	
-362.749 	-0.00361171 	
-352.32 	-0.00362373 	
-342.374 	-0.00355519 	
-332.46 	-0.00356459 	
-322.264 	-0.00354823 	
-312.199 	-0.00357918 	
-302.233 	-0.0034393 	
-292.209 	-0.00353132 	
-281.725 	-0.0034587 	
-271.669 	-0.00347703 	
