Start Time:  5/5/2017 9:56:22 AM          Time Completed:  5/5/2017 9:57:58 AM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0298B\FORCexp0298B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#595.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#595.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0298B\FORCexp0298B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#595.dat

***DATA***

Field(G)	 Moment(emu)	
-1901.57 	-0.00459261 	
-1895.15 	-0.00459918 	
-1885.91 	-0.00457769 	
-1875.54 	-0.00454647 	
-1865.43 	-0.00457709 	
-1855.34 	-0.0045819 	
-1845.01 	-0.00456933 	
-1835.16 	-0.00453487 	
-1824.9 	-0.00455705 	
-1814.85 	-0.00456252 	
-1804.9 	-0.00456637 	
-1794.81 	-0.00452713 	
-1784.37 	-0.00455633 	
-1774.6 	-0.00455616 	
-1764.6 	-0.00455272 	
-1754.33 	-0.00451922 	
-1744.1 	-0.00455133 	
-1734.13 	-0.00450645 	
-1724.01 	-0.00452205 	
-1714.24 	-0.00450226 	
-1703.87 	-0.00450159 	
-1693.7 	-0.00450564 	
-1683.76 	-0.00454759 	
-1673.78 	-0.00451195 	
-1663.32 	-0.00450949 	
-1653.35 	-0.00448367 	
-1643.58 	-0.00448416 	
-1633.1 	-0.00448332 	
-1623.15 	-0.00445848 	
-1613.26 	-0.00446056 	
-1602.88 	-0.00447067 	
-1592.99 	-0.00447449 	
-1582.7 	-0.00443289 	
-1572.81 	-0.00441697 	
-1562.85 	-0.00441594 	
-1552.42 	-0.0044587 	
-1542.49 	-0.00442186 	
-1532.58 	-0.00445739 	
-1522.48 	-0.0044107 	
-1512.06 	-0.00442546 	
-1502.25 	-0.00438551 	
-1492.36 	-0.00442855 	
-1482.03 	-0.00440387 	
-1471.93 	-0.00437531 	
-1462.01 	-0.00437432 	
-1451.91 	-0.0043936 	
-1441.67 	-0.00437824 	
-1431.51 	-0.00440874 	
-1421.41 	-0.00437886 	
-1411.65 	-0.00438268 	
-1401.51 	-0.00435266 	
-1391.18 	-0.00437803 	
-1381.27 	-0.00435309 	
-1371.36 	-0.00432889 	
-1360.96 	-0.00435411 	
-1351.06 	-0.00435937 	
-1341.14 	-0.00436019 	
-1330.81 	-0.00431386 	
-1320.76 	-0.00430606 	
-1310.55 	-0.00429596 	
-1300.48 	-0.00432717 	
-1290.57 	-0.00429902 	
-1280.5 	-0.00429998 	
-1270.26 	-0.00430457 	
-1260.34 	-0.00431362 	
-1250.45 	-0.00429658 	
-1240.05 	-0.00427576 	
-1230.04 	-0.00425187 	
-1220.06 	-0.00425297 	
-1209.81 	-0.00425269 	
-1199.81 	-0.00424748 	
-1189.8 	-0.0042649 	
-1179.85 	-0.00424188 	
-1169.41 	-0.00423851 	
-1159.48 	-0.00421223 	
-1149.48 	-0.00418656 	
-1139.2 	-0.00416159 	
-1129.25 	-0.00422432 	
-1118.93 	-0.00419319 	
-1109.21 	-0.0041617 	
-1099.33 	-0.00417262 	
-1088.93 	-0.00419428 	
-1078.87 	-0.0041782 	
-1068.95 	-0.00416887 	
-1058.81 	-0.00415672 	
-1048.56 	-0.00414162 	
-1038.6 	-0.00412765 	
-1028.62 	-0.00414166 	
-1018.27 	-0.00412515 	
-1008.4 	-0.00414586 	
-998.094 	-0.00409087 	
-988.252 	-0.00413764 	
-978.321 	-0.00408286 	
-967.939 	-0.00412614 	
