Start Time:  5/5/2017 1:41:29 PM          Time Completed:  5/5/2017 1:43:05 PM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0398B\FORCexp0398B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#795.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#795.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0398B\FORCexp0398B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#795.dat

***DATA***

Field(G)	 Moment(emu)	
-2912.38 	-0.00498893 	
-2906.23 	-0.00495616 	
-2896.99 	-0.00495258 	
-2884.32 	-0.00491617 	
-2873.21 	-0.00496535 	
-2863.05 	-0.00494466 	
-2852.71 	-0.00489538 	
-2842.79 	-0.00494237 	
-2832.62 	-0.00490127 	
-2822.72 	-0.00489404 	
-2812.27 	-0.00491222 	
-2802.35 	-0.00493261 	
-2792.31 	-0.00491243 	
-2782.21 	-0.00491444 	
-2772.26 	-0.00490363 	
-2761.84 	-0.00490509 	
-2752.13 	-0.00487464 	
-2742.04 	-0.00487981 	
-2731.66 	-0.00492778 	
-2721.74 	-0.00491239 	
-2711.79 	-0.00489786 	
-2701.42 	-0.00488823 	
-2691.38 	-0.00488716 	
-2681.38 	-0.00489224 	
-2671.47 	-0.00489562 	
-2660.98 	-0.00488034 	
-2651.04 	-0.00490562 	
-2640.95 	-0.00487794 	
-2631.11 	-0.00489572 	
-2621.15 	-0.00487262 	
-2610.67 	-0.00488672 	
-2600.57 	-0.00487224 	
-2590.94 	-0.00487021 	
-2580.4 	-0.00485746 	
-2570.42 	-0.00486393 	
-2560.5 	-0.00486802 	
-2550.42 	-0.00484316 	
-2540.1 	-0.00484435 	
-2530 	-0.0048452 	
-2519.88 	-0.00481891 	
-2509.89 	-0.00485797 	
-2500.06 	-0.00487084 	
-2489.66 	-0.00482858 	
-2479.75 	-0.00483401 	
-2469.88 	-0.00481564 	
-2459.4 	-0.00485748 	
-2449.41 	-0.00484879 	
-2439.67 	-0.0048099 	
-2429.47 	-0.0047943 	
-2419.13 	-0.00484035 	
-2409.32 	-0.00483164 	
-2399.21 	-0.0048215 	
-2389.09 	-0.00484888 	
-2379 	-0.00485893 	
-2368.97 	-0.00482031 	
-2358.84 	-0.00481947 	
-2348.68 	-0.00479128 	
-2338.54 	-0.00479688 	
-2328.66 	-0.00477269 	
-2318.57 	-0.00481604 	
-2308.24 	-0.00481727 	
-2298.4 	-0.00475679 	
-2288.49 	-0.00478888 	
-2278.38 	-0.00477355 	
-2267.93 	-0.00480653 	
-2258.13 	-0.00477654 	
-2247.98 	-0.00475395 	
-2237.86 	-0.00477104 	
-2227.92 	-0.00477695 	
-2217.71 	-0.00474702 	
-2207.66 	-0.00476842 	
-2197.57 	-0.00478684 	
-2187.56 	-0.00479076 	
-2177.56 	-0.0047576 	
-2167.1 	-0.0047254 	
-2157.35 	-0.00470987 	
-2147.33 	-0.00471379 	
-2136.8 	-0.00472858 	
-2127.11 	-0.00475148 	
-2117.1 	-0.00474555 	
-2106.98 	-0.00472113 	
-2096.66 	-0.0047598 	
-2086.61 	-0.00471657 	
-2076.59 	-0.00474348 	
-2066.71 	-0.00470292 	
-2056.7 	-0.00470483 	
-2046.24 	-0.00466914 	
-2036.36 	-0.00471645 	
-2026.43 	-0.00469769 	
-2016.06 	-0.00473556 	
-2006.08 	-0.00466874 	
-1996.32 	-0.00465892 	
-1985.79 	-0.00465842 	
-1975.86 	-0.00466071 	
-1965.9 	-0.00465958 	
-1955.88 	-0.00464598 	
-1945.41 	-0.00467892 	
-1935.69 	-0.00465381 	
-1925.36 	-0.00464141 	
-1915.41 	-0.00466535 	
-1905.49 	-0.00466755 	
-1895.03 	-0.00463831 	
-1885.21 	-0.00466572 	
-1875.25 	-0.00464669 	
-1864.87 	-0.00466562 	
-1855.05 	-0.0046337 	
-1845.03 	-0.00465546 	
-1834.67 	-0.00464435 	
-1824.7 	-0.00461826 	
-1814.73 	-0.00460904 	
-1804.69 	-0.00459259 	
-1794.36 	-0.00455864 	
-1784.45 	-0.00459738 	
-1774.56 	-0.00459406 	
-1764.29 	-0.00458098 	
-1754.22 	-0.00459193 	
-1744.03 	-0.00457241 	
-1733.89 	-0.00457364 	
-1724.17 	-0.00462484 	
-1713.64 	-0.00462452 	
-1703.78 	-0.00462612 	
-1693.87 	-0.00456148 	
-1683.82 	-0.00455116 	
-1673.47 	-0.00451977 	
-1663.6 	-0.00454535 	
-1653.56 	-0.00451785 	
-1643.23 	-0.0044916 	
-1633.28 	-0.00454323 	
-1623.33 	-0.00449487 	
-1613.01 	-0.00455854 	
-1603.03 	-0.00450763 	
-1592.7 	-0.00453206 	
-1582.99 	-0.00449744 	
-1572.63 	-0.00450947 	
-1562.8 	-0.00459921 	
-1552.52 	-0.00454714 	
-1542.66 	-0.00451246 	
-1532.68 	-0.00451184 	
-1522.37 	-0.00452253 	
-1512.22 	-0.00448944 	
-1502.64 	-0.00447286 	
-1492.04 	-0.00449109 	
-1482.07 	-0.0044689 	
-1472.09 	-0.00444647 	
-1461.8 	-0.00450893 	
-1451.81 	-0.00446304 	
-1441.88 	-0.00443173 	
-1431.93 	-0.00443437 	
-1421.51 	-0.00447933 	
-1411.59 	-0.00448115 	
-1401.69 	-0.00445545 	
-1391.27 	-0.00445946 	
-1381.27 	-0.00438492 	
-1371.35 	-0.00436859 	
-1361.31 	-0.00438462 	
-1350.93 	-0.00441879 	
-1340.93 	-0.00438312 	
-1330.93 	-0.00440162 	
-1321.01 	-0.00439361 	
-1310.94 	-0.00439542 	
-1300.65 	-0.00437621 	
-1290.71 	-0.00432664 	
-1280.82 	-0.00431754 	
-1270.54 	-0.00437127 	
-1260.38 	-0.00436813 	
-1250.48 	-0.00438755 	
-1240.2 	-0.00433434 	
-1230.3 	-0.0043574 	
-1220.15 	-0.00432076 	
-1210.1 	-0.00433236 	
-1199.76 	-0.00428935 	
-1189.95 	-0.0043346 	
-1180.03 	-0.00437229 	
-1169.73 	-0.00430789 	
-1159.57 	-0.00430388 	
-1149.79 	-0.00425012 	
-1139.76 	-0.00430367 	
-1129.13 	-0.00429782 	
-1119.43 	-0.00430867 	
-1109.5 	-0.0042628 	
-1099.26 	-0.00428128 	
-1089.09 	-0.00428739 	
-1079.32 	-0.00422836 	
-1069.13 	-0.00423061 	
-1058.73 	-0.00427677 	
-1048.77 	-0.00426362 	
-1038.75 	-0.0043052 	
-1028.82 	-0.00420817 	
-1018.64 	-0.00422986 	
-1008.4 	-0.00417794 	
-998.465 	-0.00420747 	
-988.307 	-0.00416404 	
-978.496 	-0.00418454 	
-968.382 	-0.00417771 	
-958.104 	-0.0041317 	
-948.132 	-0.00417156 	
-938.128 	-0.00414133 	
-927.723 	-0.00418256 	
-917.936 	-0.00412087 	
-907.75 	-0.00411187 	
-897.661 	-0.00412349 	
-887.904 	-0.00415553 	
-877.365 	-0.00413613 	
-867.581 	-0.0041092 	
-857.571 	-0.0041105 	
-847.499 	-0.00409713 	
-837.158 	-0.00406582 	
-827.33 	-0.00408263 	
-817.241 	-0.00402334 	
-806.914 	-0.00397622 	
-796.962 	-0.00400905 	
-787.12 	-0.00408521 	
-776.65 	-0.00404997 	
-766.742 	-0.00397741 	
-756.409 	-0.00399351 	
-746.687 	-0.00399067 	
-736.602 	-0.00402583 	
-726.466 	-0.00394691 	
-716.312 	-0.00393197 	
-706.423 	-0.00390357 	
-696.073 	-0.00402472 	
-686.091 	-0.00399176 	
-676.188 	-0.00392086 	
-666.182 	-0.00389437 	
-655.812 	-0.00389245 	
-645.834 	-0.0039039 	
-635.663 	-0.00387785 	
-625.808 	-0.003895 	
-615.654 	-0.00386727 	
-605.439 	-0.00386641 	
-595.584 	-0.00385341 	
-585.262 	-0.0038176 	
-575.246 	-0.00382493 	
-565.212 	-0.00385202 	
-555.251 	-0.00380784 	
-545.272 	-0.00382666 	
-534.717 	-0.00378227 	
-524.9 	-0.00378764 	
-515.175 	-0.00376258 	
-504.609 	-0.0037769 	
-494.644 	-0.00378968 	
-484.664 	-0.00371796 	
-474.605 	-0.00375988 	
-464.447 	-0.00373403 	
-454.292 	-0.00367662 	
-444.339 	-0.00375674 	
-434.424 	-0.00365982 	
-424.297 	-0.00358794 	
-414.035 	-0.00367123 	
-404.079 	-0.00370779 	
-394.096 	-0.00364747 	
-383.766 	-0.00363256 	
-373.881 	-0.00361271 	
-363.974 	-0.00359792 	
-353.7 	-0.00361947 	
-343.61 	-0.0035795 	
-333.596 	-0.00356336 	
-323.555 	-0.00361761 	
-313.184 	-0.00357653 	
-303.294 	-0.00354387 	
-293.359 	-0.00351311 	
-282.851 	-0.0036321 	
-273.128 	-0.0035765 	
-262.682 	-0.00352622 	
-252.994 	-0.00349828 	
-243.044 	-0.00360482 	
-232.551 	-0.00345612 	
-222.762 	-0.0034696 	
-212.748 	-0.00342588 	
-202.416 	-0.00343541 	
-192.454 	-0.00340832 	
-182.588 	-0.00345065 	
-172.451 	-0.00339896 	
-161.978 	-0.0035321 	
-152.126 	-0.00348533 	
-142.017 	-0.00333455 	
-131.977 	-0.00328891 	
-122.035 	-0.00316022 	
-111.561 	-0.00329701 	
-101.792 	-0.00329767 	
-91.8891 	-0.00326242 	
-81.526 	-0.00324337 	
-71.5649 	-0.00324357 	
-61.6864 	-0.00326482 	
-51.3375 	-0.00311103 	
-41.3834 	-0.00317773 	
-31.649 	-0.00322677 	
-21.4107 	-0.00321817 	
-10.6416 	-0.00322664 	
-0.68626 	-0.00316012 	
 9.11183 	-0.00318972 	
 19.0311 	-0.00316998 	
 29.0608 	-0.00310786 	

	
	
