Start Time:  5/5/2017 3:50:02 AM          Time Completed:  5/5/2017 3:51:26 AM      Elapsed Time:  00:01:24
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0128B\FORCexp0128B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#255.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#255.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0128B\FORCexp0128B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#255.dat

***DATA***

Field(G)	 Moment(emu)	
-183.127 	 0.00285877 	
-176.847 	 0.00286134 	
-167.099 	 0.00288456 	
-157.207 	 0.00289452 	
-146.926 	 0.00289819 	
-136.607 	 0.00286894 	
-126.605 	 0.00290565 	
-116.693 	 0.0029341 	
-106.485 	 0.00292639 	
-96.403 	 0.00301029 	
-86.4656 	 0.00296837 	
-76.4116 	 0.00300863 	
-66.0147 	 0.00298017 	
-56.1464 	 0.00301889 	
-46.0962 	 0.00299604 	
-35.7027 	 0.00308409 	
-25.8761 	 0.0030607 	
-15.5323 	 0.00310192 	
-5.70295 	 0.00308907 	
 4.40817 	 0.00306458 	
 14.7844 	 0.00313959 	
 24.7042 	 0.00315937 	
 34.5488 	 0.00315313 	
 44.9085 	 0.00315842 	
 54.7312 	 0.00315666 	
 64.5848 	 0.0031921 	
 75.0287 	 0.00316681 	
 85.4638 	 0.00322254 	
 95.0855 	 0.0032253 	
 105.081 	 0.00325447 	
 115.489 	 0.00325884 	
 125.351 	 0.00324335 	
 135.575 	 0.00330424 	
 145.676 	 0.00331392 	
 155.404 	 0.00331711 	
 165.664 	 0.00329271 	
 175.856 	 0.00334831 	
 185.738 	 0.00336286 	
 195.822 	 0.00336241 	
 206.149 	 0.00337808 	
 216.031 	 0.00338988 	
 226.034 	 0.00337613 	
 236.41 	 0.00340507 	
 246.282 	 0.00339698 	
 256.222 	 0.00345311 	
 266.53 	 0.00341847 	
 276.535 	 0.00343694 	
 286.799 	 0.0034368 	
 296.712 	 0.00348364 	
 306.608 	 0.00345908 	
 316.863 	 0.00351598 	
 326.918 	 0.00350786 	
 336.668 	 0.00349341 	
 346.987 	 0.00350535 	
 357.288 	 0.00355707 	
 367.213 	 0.00356318 	
 377.337 	 0.00358523 	
 387.335 	 0.00354585 	
 397.398 	 0.00355798 	
 407.672 	 0.00360472 	
 417.623 	 0.00360579 	
 427.545 	 0.00363396 	
 437.912 	 0.00362558 	
 447.767 	 0.0036356 	
 457.822 	 0.00362834 	
 468.022 	 0.00365884 	
 478.004 	 0.00367802 	
 488.039 	 0.00368963 	
 497.915 	 0.00367615 	
 508.557 	 0.00369899 	
 518.298 	 0.00368006 	
 528.137 	 0.00373428 	
 538.591 	 0.00375017 	
 548.514 	 0.00376698 	
 558.686 	 0.00373621 	
 568.71 	 0.00379385 	
 578.531 	 0.00374488 	
 588.881 	 0.00380987 	
 598.85 	 0.00380141 	
 608.909 	 0.00382818 	
 618.946 	 0.00384457 	
 629.145 	 0.00387415 	
 639.176 	 0.00382024 	
 649.142 	 0.00382309 	
 659.434 	 0.0038755 	
 669.454 	 0.00385121 	
 679.303 	 0.00388669 	
 689.59 	 0.00386052 	
 699.615 	 0.00387711 	
 710.003 	 0.00389452 	
 719.856 	 0.00391713 	
 729.622 	 0.00395669 	
 739.991 	 0.00391848 	
 750.068 	 0.00394155 	
 759.971 	 0.00393566 	
 769.936 	 0.00396275 	
 780.48 	 0.00398437 	
 790.309 	 0.00398348 	
 800.111 	 0.00404766 	
 810.363 	 0.00398835 	
 820.562 	 0.00400553 	
 830.538 	 0.0040204 	
 840.59 	 0.00405928 	
 850.842 	 0.00404277 	
 863.116 	 0.00404931 	
 874.169 	 0.00400793 	
 884.172 	 0.00409901 	
 894.426 	 0.00409104 	
 904.39 	 0.00408415 	
 914.465 	 0.00411809 	
 924.38 	 0.00413437 	
 934.856 	 0.00416971 	
 944.74 	 0.00406603 	
 954.541 	 0.00408513 	
 965.085 	 0.00409314 	
 974.815 	 0.00413165 	
 984.886 	 0.00411789 	
 995.297 	 0.00417345 	
 1005.1 	 0.0041336 	
 1015.31 	 0.00415529 	
 1025.3 	 0.00414608 	
 1035.19 	 0.00415651 	
 1045.35 	 0.0041891 	
 1055.51 	 0.00417239 	
 1065.58 	 0.00413842 	
 1075.45 	 0.00417642 	
 1085.93 	 0.00419658 	
 1095.85 	 0.00420825 	
 1105.68 	 0.00423395 	
 1115.96 	 0.00423981 	
 1126.03 	 0.00419388 	
 1135.95 	 0.00425025 	
 1146.03 	 0.00419023 	
 1156.48 	 0.00424656 	
 1166.13 	 0.00423608 	
 1176.52 	 0.0042774 	
 1188.61 	 0.00430712 	
 1199.7 	 0.00423868 	
 1210.1 	 0.00422564 	
 1219.99 	 0.00430232 	
 1229.84 	 0.00428524 	
 1240.3 	 0.00432119 	
 1250.25 	 0.00433482 	
 1260.09 	 0.00429606 	
 1270.36 	 0.00431058 	
 1280.45 	 0.00431929 	
 1290.45 	 0.00433372 	
 1300.42 	 0.00437596 	
 1310.68 	 0.00436532 	
 1320.85 	 0.00439344 	
 1330.77 	 0.00439677 	
 1340.72 	 0.00436736 	
 1350.81 	 0.00433198 	
 1361.16 	 0.00438706 	
 1371.06 	 0.00444364 	
 1380.97 	 0.00441406 	
 1391.38 	 0.00446302 	
 1401.37 	 0.00443507 	
 1411.2 	 0.00438901 	
 1421.44 	 0.00437238 	
 1431.46 	 0.00442064 	
 1441.52 	 0.00434709 	
 1451.42 	 0.00439857 	
 1461.87 	 0.00437121 	
 1471.99 	 0.00440028 	
 1481.94 	 0.0044135 	
 1491.97 	 0.00446547 	
 1501.81 	 0.00445508 	
 1512.25 	 0.00446447 	
 1522.04 	 0.00448196 	
 1532.09 	 0.00451065 	
 1542.47 	 0.00448208 	
 1552.22 	 0.00444618 	
 1562.26 	 0.00447371 	
 1572.41 	 0.00445717 	
 1582.63 	 0.00450666 	
 1592.71 	 0.004541 	
 1602.74 	 0.00452038 	
 1612.58 	 0.00451672 	
 1622.74 	 0.00459249 	
 1632.99 	 0.00458961 	
 1642.95 	 0.00448769 	
 1652.85 	 0.00454288 	
 1663.26 	 0.00448283 	
 1673.11 	 0.00455939 	
 1683.27 	 0.00452432 	
 1693.19 	 0.00447892 	
 1703.26 	 0.00456986 	
 1713.63 	 0.00455887 	
 1723.5 	 0.00455691 	
 1733.41 	 0.00453832 	
 1743.75 	 0.00455237 	
 1753.75 	 0.00452851 	
 1763.67 	 0.00459849 	
 1773.66 	 0.0046224 	
 1784.08 	 0.00457445 	
 1793.96 	 0.0046178 	
 1803.79 	 0.00460635 	
 1814.33 	 0.00457702 	
 1824.17 	 0.00460765 	
 1834.47 	 0.00461089 	
 1843.91 	 0.00462518 	
 1854.54 	 0.00452674 	
 1864.62 	 0.00463535 	
 1874.65 	 0.00463137 	
 1884.42 	 0.00461957 	
 1894.47 	 0.00463282 	
 1904.89 	 0.00464399 	
 1914.86 	 0.00467104 	
 1924.67 	 0.00468967 	
 1935.07 	 0.00468223 	
 1944.93 	 0.00457723 	
 1954.95 	 0.00465284 	
 1965.23 	 0.00468034 	
 1975.23 	 0.00470157 	
 1985.25 	 0.00469439 	
 1995.52 	 0.00468421 	
 2005.31 	 0.00467329 	
 2015.63 	 0.00465515 	
 2025.49 	 0.00465946 	
 2035.67 	 0.00463978 	
 2045.55 	 0.00467502 	
 2056.05 	 0.00472794 	
 2065.83 	 0.00472997 	
 2075.74 	 0.00471554 	
 2086.13 	 0.00471556 	
 2095.96 	 0.00474491 	
 2105.97 	 0.00468068 	
 2116.23 	 0.00469408 	
 2126.29 	 0.00469536 	
 2136.43 	 0.00470261 	
 2146.46 	 0.00471323 	
 2156.5 	 0.00475145 	
 2166.45 	 0.00473223 	
 2176.62 	 0.00466639 	
 2186.6 	 0.00472566 	
 2196.66 	 0.00473905 	
 2206.82 	 0.00470531 	
 2216.88 	 0.00467382 	
 2226.8 	 0.00469761 	
 2237.1 	 0.00469373 	
 2247.14 	 0.00476023 	
 2257.07 	 0.00473823 	
 2267.08 	 0.00475838 	
 2277.49 	 0.00478856 	
 2287.46 	 0.00474919 	
 2297.26 	 0.00482841 	
 2307.54 	 0.00476176 	
 2317.5 	 0.00476488 	
 2327.87 	 0.0047867 	
 2337.65 	 0.00484142 	
 2347.43 	 0.00486019 	
 2357.89 	 0.00482746 	
 2368.02 	 0.00481046 	
 2377.66 	 0.00480784 	

	
	
