Start Time:  5/5/2017 7:59:03 AM          Time Completed:  5/5/2017 8:00:39 AM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0245B\FORCexp0245B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#489.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#489.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0245B\FORCexp0245B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#489.dat

***DATA***

Field(G)	 Moment(emu)	
-1365.83 	-0.00396464 	
-1359.44 	-0.0039974 	
-1350.22 	-0.00393204 	
-1339.9 	-0.00397632 	
-1329.67 	-0.00389897 	
-1319.65 	-0.00394078 	
-1309.56 	-0.0039857 	
-1299.2 	-0.00394699 	
-1289.33 	-0.00393011 	
-1279.32 	-0.00390344 	
-1268.83 	-0.0039208 	
-1259.04 	-0.00389312 	
-1249.02 	-0.00391886 	
-1238.91 	-0.00390342 	
-1228.65 	-0.00389369 	
-1218.47 	-0.00390009 	
-1208.52 	-0.00390027 	
-1198.72 	-0.00386285 	
-1188.32 	-0.00387883 	
-1178.22 	-0.00385454 	
-1168.24 	-0.00390727 	
-1158.27 	-0.00384984 	
-1147.92 	-0.00382587 	
-1137.96 	-0.00386798 	
-1127.9 	-0.00380584 	
-1117.59 	-0.00383743 	
-1107.73 	-0.00380085 	
-1097.77 	-0.00378432 	
-1087.43 	-0.00377469 	
-1077.29 	-0.00377217 	
-1067.13 	-0.00376062 	
-1057.28 	-0.0037804 	
-1047.31 	-0.00373505 	
-1037.27 	-0.00374107 	
-1026.88 	-0.00372715 	
-1017.08 	-0.00373212 	
-1007.03 	-0.0036993 	
-996.611 	-0.0036948 	
-986.662 	-0.00368324 	
-976.841 	-0.00373943 	
-966.446 	-0.00371322 	
-956.315 	-0.00366941 	
-946.329 	-0.00370542 	
-936.212 	-0.00370469 	
-926.363 	-0.00361976 	
-916.081 	-0.00363809 	
-906.023 	-0.00364305 	
-895.92 	-0.0036128 	
-885.834 	-0.00360398 	
-876.074 	-0.00358401 	
-865.689 	-0.003624 	
-855.562 	-0.00356677 	
-845.672 	-0.00358897 	
-835.668 	-0.00356856 	
-825.218 	-0.00360812 	
-815.379 	-0.00354633 	
-805.094 	-0.00360711 	
-795.238 	-0.00355442 	
-785.115 	-0.00354785 	
-774.826 	-0.00350726 	
-764.97 	-0.00353386 	
-754.963 	-0.00354434 	
-744.623 	-0.00350908 	
-734.693 	-0.00346421 	
-724.773 	-0.00342294 	
-714.471 	-0.00345105 	
-704.366 	-0.00345771 	
-694.408 	-0.00346253 	
-684.501 	-0.00344433 	
-674.022 	-0.00340623 	
-664.108 	-0.00341157 	
-653.996 	-0.00343134 	
-644.093 	-0.00341139 	
-634.152 	-0.00337353 	
-623.751 	-0.00337828 	
-613.848 	-0.00338865 	
-603.588 	-0.00339152 	
-593.602 	-0.00338145 	
-583.741 	-0.0033672 	
-573.281 	-0.00332919 	
-563.406 	-0.00331008 	
-553.427 	-0.00327043 	
-542.738 	-0.00327518 	
-533.031 	-0.00327931 	
-523.255 	-0.00323799 	
-513.19 	-0.00328049 	
-502.618 	-0.00328218 	
-492.839 	-0.00325642 	
-483.02 	-0.00326804 	
-472.556 	-0.0032471 	
-462.514 	-0.00324111 	
-452.703 	-0.00326133 	
-442.342 	-0.00319081 	
-432.341 	-0.00320114 	
-422.344 	-0.00317237 	
-412.038 	-0.00315152 	
-402.123 	-0.00312579 	
-391.958 	-0.00315919 	
-381.902 	-0.00311504 	
-372.004 	-0.00312085 	
-361.863 	-0.00311266 	
-351.554 	-0.00310116 	
-341.65 	-0.00304408 	
-331.725 	-0.00304665 	
-321.241 	-0.00310946 	
-311.533 	-0.00308608 	
-301.42 	-0.00301834 	
-291.272 	-0.00300984 	
-281.086 	-0.00303266 	
-271.185 	-0.00300652 	
-261.191 	-0.00298727 	
-250.884 	-0.00296783 	
-240.893 	-0.00294688 	
-230.902 	-0.00298043 	
-220.736 	-0.00295188 	
-210.589 	-0.00294145 	
-200.497 	-0.00290008 	
-189.405 	-0.00285291 	
-177.201 	-0.00284186 	
-166.852 	-0.00287217 	
-155.75 	-0.00289853 	
-143.683 	-0.00288886 	
-133.21 	-0.00283497 	
-123.277 	-0.00281088 	
-113.449 	-0.0028133 	
-103.1 	-0.00284018 	
-93.063 	-0.00283301 	
