Start Time:  5/5/2017 10:29:06 AM         Time Completed:  5/5/2017 10:30:42 AM     Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0313B\FORCexp0313B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#625.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#625.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0313B\FORCexp0313B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#625.dat

***DATA***

Field(G)	 Moment(emu)	
-2053.68 	-0.00464124 	
-2048.38 	-0.00463212 	
-2038.89 	-0.00468791 	
-2029.06 	-0.00469534 	
-2018.76 	-0.00462241 	
-2008.6 	-0.00466932 	
-1998.51 	-0.00465897 	
-1988.44 	-0.00466019 	
-1978.27 	-0.00467747 	
-1968.49 	-0.00463567 	
-1958.24 	-0.00468495 	
-1948.04 	-0.00465948 	
-1937.9 	-0.00463156 	
-1927.78 	-0.00461828 	
-1918.02 	-0.00463385 	
-1907.74 	-0.00463449 	
-1897.67 	-0.0046119 	
-1887.64 	-0.00461087 	
-1877.55 	-0.00461547 	
-1867.28 	-0.00460766 	
-1857.38 	-0.00456903 	
-1847.33 	-0.0045773 	
-1836.88 	-0.00457201 	
-1827.08 	-0.00455221 	
-1816.84 	-0.00459106 	
-1806.77 	-0.00459022 	
-1796.95 	-0.00460357 	
-1786.57 	-0.00452395 	
-1776.48 	-0.00455374 	
-1766.74 	-0.00458415 	
-1756.39 	-0.0045878 	
-1746.35 	-0.00457072 	
-1736.27 	-0.00454032 	
-1726.36 	-0.00453678 	
-1715.84 	-0.00452731 	
-1706.05 	-0.0045487 	
-1696.2 	-0.00452025 	
-1685.63 	-0.00452797 	
-1675.79 	-0.00450164 	
-1665.71 	-0.00452385 	
-1655.28 	-0.00451191 	
-1645.63 	-0.00452592 	
-1635.17 	-0.00449811 	
-1625.37 	-0.00449466 	
-1615.44 	-0.00446241 	
-1605.32 	-0.00448594 	
-1595.04 	-0.00448069 	
-1585.04 	-0.00450018 	
-1575.11 	-0.00446092 	
-1564.69 	-0.00445564 	
-1554.67 	-0.00443424 	
-1544.85 	-0.00438643 	
-1534.53 	-0.00447228 	
-1524.5 	-0.00447329 	
-1514.56 	-0.00445302 	
-1504.58 	-0.00445856 	
-1494.19 	-0.00444611 	
-1484.32 	-0.00443705 	
-1473.95 	-0.00444588 	
-1464.21 	-0.0044557 	
-1454.14 	-0.00442666 	
-1443.72 	-0.00440935 	
-1433.85 	-0.00440188 	
-1423.87 	-0.00435547 	
-1413.58 	-0.00442619 	
-1403.58 	-0.00437515 	
-1393.64 	-0.00439397 	
-1383.41 	-0.00439104 	
-1373.23 	-0.00436554 	
-1363.42 	-0.0043462 	
-1353.33 	-0.00434497 	
-1342.98 	-0.00436935 	
-1333.09 	-0.00437665 	
-1323.11 	-0.00436959 	
-1312.91 	-0.00436037 	
-1302.76 	-0.00436008 	
-1292.88 	-0.00431436 	
-1282.75 	-0.00430871 	
-1272.53 	-0.00431798 	
-1262.58 	-0.00429189 	
-1252.66 	-0.0042626 	
-1242.21 	-0.00429535 	
-1232.33 	-0.00428036 	
-1222.39 	-0.00429504 	
-1212.08 	-0.00429449 	
-1202.09 	-0.00430063 	
-1191.75 	-0.00424652 	
-1181.82 	-0.00423226 	
-1171.85 	-0.00426662 	
-1161.73 	-0.00424432 	
-1151.95 	-0.00426507 	
-1141.37 	-0.00421635 	
-1131.49 	-0.00422186 	
-1121.63 	-0.00418428 	
-1111.25 	-0.0041909 	
-1101.24 	-0.0041823 	
-1090.96 	-0.00426273 	
-1081.31 	-0.00422393 	
-1070.96 	-0.00420899 	
-1060.76 	-0.00418999 	
-1050.83 	-0.00416548 	
-1040.91 	-0.0041084 	
-1030.93 	-0.00414145 	
-1020.32 	-0.00418551 	
-1010.62 	-0.00418881 	
-1000.68 	-0.0041548 	
-990.426 	-0.00415554 	
-980.24 	-0.00414945 	
-970.124 	-0.00407728 	
-960.141 	-0.00415679 	
-950.144 	-0.00410805 	
-939.835 	-0.00413474 	
-929.859 	-0.00408608 	
-919.872 	-0.00408923 	
-909.883 	-0.00408231 	
-899.481 	-0.00407299 	
-889.621 	-0.00403273 	
-879.783 	-0.00409451 	
-869.405 	-0.00406662 	
-859.329 	-0.00403326 	
-849.47 	-0.00404875 	
-839.205 	-0.00402578 	
-829.106 	-0.00400674 	
-819.143 	-0.00401211 	
-809.284 	-0.00402847 	
-798.782 	-0.00398589 	
-788.909 	-0.00399034 	
-778.792 	-0.00396709 	
-768.641 	-0.00393413 	
-758.741 	-0.00394167 	
-748.5 	-0.0039419 	
-738.566 	-0.00398328 	
-728.533 	-0.00393628 	
-718.4 	-0.00393193 	
-708.438 	-0.00394099 	
-698.058 	-0.0039192 	
-688.086 	-0.00388478 	
-678.207 	-0.00387996 	
-667.834 	-0.00389137 	
-657.859 	-0.00387682 	
-647.619 	-0.00386398 	
-637.764 	-0.00387567 	
-627.738 	-0.00385107 	
-617.433 	-0.00388284 	
-607.732 	-0.00384365 	
-597.376 	-0.00381417 	
-587.405 	-0.00380948 	
-577.502 	-0.00377848 	
-567.077 	-0.00378629 	
-557.191 	-0.00377669 	
-547.195 	-0.00376414 	
-536.811 	-0.00371538 	
-526.919 	-0.00373409 	
-516.724 	-0.00377759 	
-506.666 	-0.00376479 	
-496.806 	-0.00368624 	
-486.558 	-0.00369259 	
-476.62 	-0.00370927 	
-466.55 	-0.00371573 	
-456.553 	-0.0036852 	
-446.086 	-0.00366374 	
-436.123 	-0.00363119 	
-426.232 	-0.00362862 	
-415.988 	-0.00363018 	
-406.018 	-0.00362298 	
-395.729 	-0.00363623 	
-385.808 	-0.00364349 	
-375.858 	-0.00366403 	
-365.859 	-0.00357847 	
-355.729 	-0.00355938 	
-345.224 	-0.00353927 	
-335.55 	-0.00352562 	
-325.598 	-0.00357712 	
-315.12 	-0.00355 	
-305.23 	-0.00352947 	
-295.096 	-0.00353238 	
-285.134 	-0.00346688 	
-275.237 	-0.00341021 	
-264.795 	-0.00339811 	
-254.873 	-0.00346971 	
-244.793 	-0.00346469 	
-234.836 	-0.00342578 	
-224.348 	-0.00338742 	
-214.605 	-0.00337365 	
-204.715 	-0.0033911 	
-194.362 	-0.00338822 	
-184.346 	-0.00338274 	
-174.278 	-0.00334525 	
-164.228 	-0.00336602 	
-153.881 	-0.00333785 	
-143.917 	-0.00334618 	
-133.859 	-0.00330318 	
-123.947 	-0.00330267 	
-113.975 	-0.00326453 	
-103.533 	-0.00323144 	
-93.5917 	-0.0031878 	
-83.6852 	-0.00321368 	
-73.3704 	-0.00322911 	
-63.4541 	-0.00317406 	
-53.5583 	-0.00314403 	
-43.309 	-0.00318261 	
-33.0151 	-0.00322295 	
-23.3033 	-0.00320965 	
-13.1984 	-0.00314944 	
-2.82365 	-0.00309528 	
 7.25305 	-0.00309657 	
 17.4025 	-0.00309301 	
 27.2793 	-0.00306092 	
 37.2944 	-0.00309956 	
 47.5169 	-0.00298568 	
 57.5404 	-0.00304667 	
 67.5313 	-0.0030147 	
 77.4706 	-0.00297806 	
 88.0447 	-0.00292425 	
 97.7951 	-0.00290822 	
