Start Time:  5/5/2017 9:19:58 AM          Time Completed:  5/5/2017 9:21:34 AM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0281B\FORCexp0281B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#561.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#561.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0281B\FORCexp0281B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#561.dat

***DATA***

Field(G)	 Moment(emu)	
-1729.57 	-0.00450662 	
-1723.21 	-0.00449919 	
-1713.98 	-0.00446256 	
-1703.44 	-0.00445207 	
-1693.47 	-0.00441105 	
-1683.47 	-0.00446167 	
-1673.21 	-0.0044178 	
-1663.03 	-0.0044331 	
-1653.06 	-0.00444589 	
-1642.9 	-0.0044369 	
-1632.69 	-0.00438816 	
-1622.69 	-0.00440601 	
-1612.51 	-0.00441002 	
-1602.51 	-0.00443119 	
-1592.65 	-0.00442857 	
-1582.16 	-0.00438106 	
-1572.3 	-0.004341 	
-1562.3 	-0.00435728 	
-1552.03 	-0.00439794 	
-1541.99 	-0.00437281 	
-1532.03 	-0.0043886 	
-1521.98 	-0.00437048 	
-1511.52 	-0.00438897 	
-1501.75 	-0.00436117 	
-1491.85 	-0.00435368 	
-1481.48 	-0.00435759 	
-1471.48 	-0.00436338 	
-1461.44 	-0.00432787 	
-1451.49 	-0.00433649 	
-1440.89 	-0.00431136 	
-1431.04 	-0.0043399 	
-1420.9 	-0.00434133 	
-1411.06 	-0.00432277 	
-1401.02 	-0.00430108 	
-1390.55 	-0.00431156 	
-1380.73 	-0.00430682 	
-1370.73 	-0.00427994 	
-1360.39 	-0.00427603 	
-1350.45 	-0.00426005 	
-1340.57 	-0.00423737 	
-1330.25 	-0.00424537 	
-1320.14 	-0.00427468 	
-1310.29 	-0.00422596 	
-1299.96 	-0.00423531 	
-1289.9 	-0.00423279 	
-1279.84 	-0.00422286 	
-1269.65 	-0.00421066 	
-1259.76 	-0.00424354 	
-1249.78 	-0.00423928 	
-1239.51 	-0.00422903 	
-1229.53 	-0.00418825 	
-1219.7 	-0.00422128 	
-1209.29 	-0.00418848 	
-1199.25 	-0.00423708 	
-1189.4 	-0.00417644 	
-1179.21 	-0.00417237 	
-1169.01 	-0.00417706 	
-1159.01 	-0.00417023 	
-1149.04 	-0.00418627 	
-1138.57 	-0.00410508 	
-1128.74 	-0.00413513 	
-1118.42 	-0.0041175 	
-1108.47 	-0.00411625 	
-1098.71 	-0.00411958 	
-1088.25 	-0.00413589 	
-1078.34 	-0.00411964 	
-1068.35 	-0.00411288 	
-1058.06 	-0.00409081 	
-1048.07 	-0.00407154 	
-1038.14 	-0.00404983 	
-1028.03 	-0.00406646 	
-1017.57 	-0.00408554 	
-1007.9 	-0.00408278 	
-997.857 	-0.00406957 	
-987.432 	-0.00405117 	
-977.655 	-0.00406781 	
-967.61 	-0.00403596 	
-957.551 	-0.0040553 	
-947.222 	-0.00403698 	
-937.29 	-0.00399599 	
-927.297 	-0.00402628 	
-916.95 	-0.00402022 	
-907.17 	-0.00401665 	
-896.785 	-0.00400067 	
-886.902 	-0.00398406 	
-876.943 	-0.00397055 	
-866.609 	-0.00394983 	
-856.523 	-0.0039402 	
-846.736 	-0.00399245 	
-836.365 	-0.00395794 	
-826.365 	-0.00394804 	
-816.413 	-0.00388879 	
-806.478 	-0.0039167 	
-795.935 	-0.00390044 	
-786.148 	-0.00388287 	
-775.952 	-0.00386209 	
-766.021 	-0.00385539 	
-756.011 	-0.00386488 	
-745.75 	-0.0038288 	
-735.689 	-0.0038579 	
-725.913 	-0.00387021 	
-715.405 	-0.0038883 	
-705.461 	-0.00380868 	
-695.465 	-0.00381017 	
-685.473 	-0.00379598 	
-675.055 	-0.00379079 	
-665.022 	-0.00377726 	
-654.933 	-0.00379297 	
-645.195 	-0.00374242 	
-635.024 	-0.00375257 	
-624.685 	-0.00376117 	
-614.844 	-0.00375816 	
-604.869 	-0.00375358 	
-594.44 	-0.0037647 	
-584.671 	-0.00368612 	
-574.185 	-0.00370136 	
-564.522 	-0.00373473 	
-554.251 	-0.00371667 	
-544.053 	-0.00365313 	
-534.205 	-0.00365269 	
-524.223 	-0.00362541 	
-514.145 	-0.00362531 	
-503.785 	-0.0036198 	
-493.954 	-0.00363948 	
-483.995 	-0.00361587 	
-473.579 	-0.00363682 	
-463.568 	-0.00360142 	
-453.681 	-0.00358848 	
-443.491 	-0.00355186 	
-433.381 	-0.00358831 	
-423.219 	-0.00357938 	
-413.253 	-0.00352609 	
-403.187 	-0.00353581 	
-393.046 	-0.00356823 	
-382.873 	-0.00353001 	
-373.061 	-0.00348362 	
-363.01 	-0.00347034 	
-352.701 	-0.00348082 	
-342.718 	-0.00347988 	
