Start Time:  5/5/2017 12:12:40 PM         Time Completed:  5/5/2017 12:14:16 PM     Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0359B\FORCexp0359B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#717.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#717.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0359B\FORCexp0359B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#717.dat

***DATA***

Field(G)	 Moment(emu)	
-2517.68 	-0.00486956 	
-2510.52 	-0.00484911 	
-2501.08 	-0.00482183 	
-2490.52 	-0.00481685 	
-2480.55 	-0.00485095 	
-2470.56 	-0.00481352 	
-2460.3 	-0.00482102 	
-2450.14 	-0.00484727 	
-2439.84 	-0.00483031 	
-2430.05 	-0.0048458 	
-2420.03 	-0.00479311 	
-2409.87 	-0.00481769 	
-2399.59 	-0.00483206 	
-2389.77 	-0.00479102 	
-2379.62 	-0.00478374 	
-2369.35 	-0.00479892 	
-2359.41 	-0.0047648 	
-2349.42 	-0.00478993 	
-2339.21 	-0.00478671 	
-2329.06 	-0.00479351 	
-2319.2 	-0.0047645 	
-2308.96 	-0.00478993 	
-2298.81 	-0.00479836 	
-2288.58 	-0.00481014 	
-2278.58 	-0.00477725 	
-2268.66 	-0.00476738 	
-2258.36 	-0.00475073 	
-2248.67 	-0.00475001 	
-2238.34 	-0.00477618 	
-2228.28 	-0.00476424 	
-2218.24 	-0.0047977 	
-2208.21 	-0.00476228 	
-2197.79 	-0.00477268 	
-2187.95 	-0.00477781 	
-2178.1 	-0.00476823 	
-2167.7 	-0.00475117 	
-2157.7 	-0.00474935 	
-2147.31 	-0.00472677 	
-2137.45 	-0.00473148 	
-2127.84 	-0.00471244 	
-2117.2 	-0.00472212 	
-2107.28 	-0.00472321 	
-2097.17 	-0.00471193 	
-2087.29 	-0.00474086 	
-2077.34 	-0.00469142 	
-2067.03 	-0.00473041 	
-2056.88 	-0.00472032 	
-2046.63 	-0.0046975 	
-2036.8 	-0.00465933 	
-2026.62 	-0.00465685 	
-2016.67 	-0.00466953 	
-2006.61 	-0.00467202 	
-1996.25 	-0.00468814 	
-1986.36 	-0.00467422 	
-1976.44 	-0.00470476 	
-1966.01 	-0.00470223 	
-1956.04 	-0.00465407 	
-1945.8 	-0.00464559 	
-1936.14 	-0.00465756 	
-1925.65 	-0.00464471 	
-1915.65 	-0.00466582 	
-1905.67 	-0.00464671 	
-1895.73 	-0.0046429 	
-1885.72 	-0.00460557 	
-1875.43 	-0.00463597 	
-1865.42 	-0.00462442 	
-1855.36 	-0.00465282 	
-1845.08 	-0.00458969 	
-1835.16 	-0.00463379 	
-1825.34 	-0.00460607 	
-1815.12 	-0.00460947 	
-1804.86 	-0.00459889 	
-1794.68 	-0.00458908 	
-1784.82 	-0.00459696 	
-1774.69 	-0.00457272 	
-1764.72 	-0.00456821 	
-1754.2 	-0.00458073 	
-1744.35 	-0.00459802 	
-1734.55 	-0.00456055 	
-1724.17 	-0.00457983 	
-1714.1 	-0.00458302 	
-1704.23 	-0.00456101 	
