Start Time:  5/5/2017 8:08:05 AM          Time Completed:  5/5/2017 8:09:41 AM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0249B\FORCexp0249B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#497.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#497.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0249B\FORCexp0249B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#497.dat

***DATA***

Field(G)	 Moment(emu)	
-1405.63 	-0.00406203 	
-1398.48 	-0.00408471 	
-1388.93 	-0.00399062 	
-1378.49 	-0.00407292 	
-1368.35 	-0.00408398 	
-1358.47 	-0.0040651 	
-1348.19 	-0.00404661 	
-1338.1 	-0.00405423 	
-1328.19 	-0.00399756 	
-1318.17 	-0.00400381 	
-1307.79 	-0.00396516 	
-1297.81 	-0.00399713 	
-1287.84 	-0.00395638 	
-1277.35 	-0.00397042 	
-1267.53 	-0.00393346 	
-1257.58 	-0.00395384 	
-1247.16 	-0.00394958 	
-1237.26 	-0.00398558 	
-1226.9 	-0.00394257 	
-1217.16 	-0.00397998 	
-1207.14 	-0.00390445 	
-1196.86 	-0.00387829 	
-1186.87 	-0.00392191 	
-1176.94 	-0.00390181 	
-1166.69 	-0.00392684 	
-1156.4 	-0.0038791 	
-1146.49 	-0.00392712 	
-1136.56 	-0.00387025 	
-1126.21 	-0.00389128 	
-1116.28 	-0.00383788 	
-1106.1 	-0.00388289 	
-1096.12 	-0.0038322 	
-1086.06 	-0.00383093 	
-1075.71 	-0.0038639 	
-1065.8 	-0.00384791 	
-1055.92 	-0.00383013 	
-1045.61 	-0.00380164 	
-1035.47 	-0.00379834 	
-1025.56 	-0.00378928 	
-1015.63 	-0.00374082 	
-1005.27 	-0.00376645 	
-995.237 	-0.00376522 	
-985.089 	-0.00371383 	
-975.1 	-0.00372273 	
-965.137 	-0.00372549 	
-955.096 	-0.00374483 	
-944.746 	-0.00373795 	
-934.831 	-0.00376568 	
-924.67 	-0.00370264 	
-914.567 	-0.00370793 	
-904.642 	-0.0036871 	
-894.646 	-0.00371044 	
-884.099 	-0.00368656 	
-874.243 	-0.00367181 	
-864.425 	-0.00368297 	
-854.068 	-0.00368579 	
-844.092 	-0.00368265 	
-834.16 	-0.00365291 	
-823.776 	-0.00366267 	
-813.841 	-0.0036036 	
-803.453 	-0.00358547 	
-793.933 	-0.00356802 	
-783.459 	-0.00363759 	
-773.325 	-0.00358441 	
-763.322 	-0.00361704 	
-753.421 	-0.00358735 	
-743.446 	-0.00355655 	
-733.086 	-0.00355711 	
-723.118 	-0.00357477 	
-713.307 	-0.00355055 	
-702.989 	-0.00352683 	
-692.921 	-0.00346239 	
-682.874 	-0.00353482 	
-672.806 	-0.00349589 	
-662.433 	-0.00351447 	
-652.705 	-0.00348831 	
-642.613 	-0.00348903 	
-632.38 	-0.00345846 	
-622.158 	-0.00345143 	
-612.265 	-0.00345174 	
-602.111 	-0.00344741 	
-592.013 	-0.00342791 	
-582.185 	-0.00342453 	
-572.121 	-0.00343156 	
-561.782 	-0.00337508 	
-551.879 	-0.00340431 	
-541.869 	-0.0033566 	
-531.565 	-0.00337287 	
-521.586 	-0.00336863 	
-511.439 	-0.00336498 	
-501.629 	-0.0033105 	
-491.215 	-0.00329449 	
-481.177 	-0.00327139 	
-471.108 	-0.00328628 	
-461.214 	-0.00329685 	
-451.12 	-0.00331807 	
-440.753 	-0.00329667 	
-431.003 	-0.00325094 	
-421.067 	-0.00325421 	
-410.511 	-0.00323987 	
-400.64 	-0.00323637 	
-390.715 	-0.00319711 	
-380.492 	-0.00317072 	
-370.367 	-0.00317221 	
-360.171 	-0.00318487 	
-350.318 	-0.00317943 	
-340.308 	-0.00319114 	
-329.985 	-0.00312288 	
-319.988 	-0.00314017 	
-310.029 	-0.00307995 	
-300.033 	-0.00312535 	
-289.847 	-0.00311704 	
-279.717 	-0.00310999 	
-269.79 	-0.00307318 	
-259.559 	-0.00301908 	
-249.503 	-0.00301821 	
-239.461 	-0.00307516 	
-229.497 	-0.00298795 	
-219.013 	-0.00301951 	
-208.958 	-0.00299947 	
-199.165 	-0.00298611 	
-188.976 	-0.00296069 	
-179.062 	-0.00297103 	
-168.81 	-0.00294397 	
-158.773 	-0.00295542 	
-148.956 	-0.00289978 	
-138.544 	-0.00286857 	
-128.621 	-0.00285484 	
-118.65 	-0.00290467 	
-108.475 	-0.0029043 	
-98.2223 	-0.00281068 	
-88.3569 	-0.00282228 	
-78.3097 	-0.00279653 	
-67.8991 	-0.00278877 	
-58.199 	-0.00282392 	
-47.9737 	-0.00280723 	
-37.8171 	-0.00277192 	
-27.7189 	-0.00271015 	
-17.5612 	-0.00275643 	
-7.80043 	-0.00274246 	
 1.93893 	-0.00271084 	
 12.5786 	-0.00274689 	
 22.8049 	-0.00268588 	
 32.7315 	-0.00266324 	
 42.5953 	-0.0025954 	
 52.7458 	-0.00262933 	
 62.7418 	-0.00261409 	
 72.8956 	-0.00259255 	
 83.1524 	-0.00256405 	
 92.8959 	-0.00259115 	
 103.243 	-0.00249511 	
 113.351 	-0.00249731 	
 123.149 	-0.00250254 	
 133.435 	-0.00251725 	
 143.33 	-0.00248811 	
 153.576 	-0.00243969 	
 163.667 	-0.00243584 	
 173.859 	-0.00244132 	
 183.821 	-0.00240312 	
 193.895 	-0.0023568 	
 204.134 	-0.0023379 	
 214.057 	-0.00232666 	
