Start Time:  5/5/2017 5:14:21 AM          Time Completed:  5/5/2017 5:15:57 AM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0168B\FORCexp0168B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#335.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#335.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0168B\FORCexp0168B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#335.dat

***DATA***

Field(G)	 Moment(emu)	
-586.91 	 0.00150998 	
-579.514 	 0.00149651 	
-569.786 	 0.00155395 	
-559.763 	 0.00157427 	
-549.815 	 0.00156851 	
-539.349 	 0.00160565 	
-529.319 	 0.00166738 	
-519.402 	 0.00166489 	
-509.053 	 0.0016917 	
-499.03 	 0.00170619 	
-489.084 	 0.00175552 	
-478.957 	 0.00174997 	
-468.668 	 0.00173707 	
-458.677 	 0.00180943 	
-448.849 	 0.0018008 	
-438.347 	 0.00184501 	
-428.408 	 0.00182877 	
-418.177 	 0.00185683 	
-408.242 	 0.00185565 	
-398.461 	 0.0018563 	
-387.839 	 0.00187734 	
-378.031 	 0.00193687 	
-368.06 	 0.00191169 	
-358.011 	 0.00195455 	
-347.668 	 0.00196217 	
-337.558 	 0.00200662 	
-327.743 	 0.00204139 	
-317.448 	 0.00205585 	
-307.475 	 0.00204001 	
-297.389 	 0.00206148 	
-287.169 	 0.00206987 	
-277.09 	 0.00206761 	
-267.204 	 0.00212033 	
-257.206 	 0.00209919 	
-246.737 	 0.00216439 	
-236.942 	 0.00216856 	
-226.986 	 0.00218033 	
-216.555 	 0.00219332 	
-206.617 	 0.00224723 	
-196.697 	 0.00223401 	
-186.165 	 0.00222403 	
-176.449 	 0.00225566 	
-166.051 	 0.00228882 	
-156.197 	 0.00229894 	
-146.242 	 0.00232773 	
-136.157 	 0.00233788 	
-125.887 	 0.00240781 	
-115.9 	 0.0023595 	
-105.997 	 0.00237216 	
-95.5723 	 0.0024089 	
-85.7173 	 0.00240984 	
-75.7594 	 0.00245738 	
-65.4929 	 0.00247394 	
-55.3157 	 0.00249371 	
-45.1797 	 0.00249342 	
