Start Time:  5/5/2017 1:45:21 AM          Time Completed:  5/5/2017 1:45:54 AM      Elapsed Time:  00:00:33
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0044B\FORCexp0044B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#87.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#87.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0044B\FORCexp0044B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#87.dat

***DATA***

Field(G)	 Moment(emu)	
 666.008 	 0.00390669 	
 672.634 	 0.00392087 	
 682.089 	 0.00395588 	
 691.996 	 0.00392357 	
 702.121 	 0.0039657 	
 712.386 	 0.00396434 	
 722.303 	 0.00398311 	
 732.051 	 0.0039796 	
 742.259 	 0.00400026 	
 752.449 	 0.00399528 	
 762.128 	 0.00401032 	
 772.243 	 0.00399712 	
 782.555 	 0.00405188 	
 792.392 	 0.0040175 	
 802.26 	 0.00401173 	
 812.632 	 0.00404962 	
 822.396 	 0.00404745 	
 832.207 	 0.0040352 	
 842.43 	 0.00407172 	
 852.402 	 0.00408288 	
 862.347 	 0.00408386 	
 872.226 	 0.00410398 	
 882.553 	 0.00409728 	
 892.349 	 0.00409777 	
 902.226 	 0.00410697 	
 912.38 	 0.00412607 	
 922.363 	 0.00408268 	
 932.543 	 0.00411329 	
 942.407 	 0.00411593 	
 952.31 	 0.00417059 	
 962.531 	 0.00413837 	
 972.587 	 0.00414888 	
 982.274 	 0.00416118 	
 992.238 	 0.00423716 	
 1002.67 	 0.00418595 	
 1012.33 	 0.00419539 	
 1022.27 	 0.00418897 	
 1032.51 	 0.00417854 	
 1042.42 	 0.00421923 	
 1052.19 	 0.0042067 	
 1062.44 	 0.00420239 	
 1072.49 	 0.00422371 	
 1082.22 	 0.00423596 	
 1092.33 	 0.00421944 	
 1102.47 	 0.00427036 	
 1112.51 	 0.00424572 	
 1122.41 	 0.00425286 	
 1132.51 	 0.0042657 	
 1142.3 	 0.00425433 	
 1152.21 	 0.00428991 	
 1162.3 	 0.00428369 	
 1172.47 	 0.00429936 	
 1182.35 	 0.00426215 	
 1192.08 	 0.00432166 	
 1202.62 	 0.00431112 	
 1212.51 	 0.00429254 	
 1222.06 	 0.00430313 	
 1232.52 	 0.00432391 	
 1242.3 	 0.00430906 	
 1252.6 	 0.00436146 	
 1262.32 	 0.00435469 	
 1272.29 	 0.00436173 	
 1282.24 	 0.00435723 	
 1292.15 	 0.00438018 	
 1302.57 	 0.00436396 	
 1312.24 	 0.00437374 	
 1322.31 	 0.00436025 	
 1332.19 	 0.00437972 	
 1342.35 	 0.00442528 	
 1352.56 	 0.00437937 	
 1362.32 	 0.00442078 	
 1372.13 	 0.00437173 	
 1382.33 	 0.00441909 	
 1392.42 	 0.00443499 	
 1402.27 	 0.00448437 	
 1412.11 	 0.00441728 	
 1422.49 	 0.00437312 	
 1432.31 	 0.00444968 	
 1442.17 	 0.00445634 	
 1452.29 	 0.00444332 	
 1462.28 	 0.00447214 	
 1472.34 	 0.00445282 	
 1482.43 	 0.00448012 	
 1492.19 	 0.00444861 	
 1502.4 	 0.0044531 	
 1512.16 	 0.00444 	
 1522.26 	 0.00446335 	

	
	
