Start Time:  5/5/2017 2:06:33 AM          Time Completed:  5/5/2017 2:07:17 AM      Elapsed Time:  00:00:44
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0063B\FORCexp0063B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#125.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#125.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0063B\FORCexp0063B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#125.dat

***DATA***

Field(G)	 Moment(emu)	
 475.307 	 0.00375088 	
 483.332 	 0.0037655 	
 493.061 	 0.00374749 	
 503.366 	 0.00379847 	
 513.31 	 0.00377978 	
 523.3 	 0.00380935 	
 533.62 	 0.00383704 	
 543.615 	 0.00382322 	
 553.492 	 0.00382678 	
 563.541 	 0.00385436 	
 573.794 	 0.00384218 	
 583.775 	 0.00386167 	
 593.756 	 0.00383346 	
 603.874 	 0.00384067 	
 613.981 	 0.00385103 	
 624.233 	 0.00387604 	
 634.003 	 0.00388126 	
 643.91 	 0.00384602 	
 654.116 	 0.00387821 	
 664.233 	 0.00386863 	
 674.109 	 0.003943 	
 684.109 	 0.00395438 	
 694.399 	 0.00397403 	
 704.166 	 0.00395399 	
 714.207 	 0.00398007 	
 724.564 	 0.00394523 	
 734.25 	 0.00397787 	
 744.271 	 0.00400249 	
 754.548 	 0.00401178 	
 764.586 	 0.00403684 	
 774.821 	 0.00400246 	
 784.574 	 0.00400927 	
 794.502 	 0.0040095 	
 804.797 	 0.00401595 	
 814.738 	 0.00404879 	
 824.647 	 0.00404311 	
 834.488 	 0.00407787 	
 844.966 	 0.00405936 	
 854.862 	 0.00406177 	
 864.633 	 0.00410905 	
 875.122 	 0.00407271 	
 884.918 	 0.0040766 	
 894.706 	 0.00403303 	
 904.997 	 0.00410572 	
 915.054 	 0.00410921 	
 925.38 	 0.00413013 	
 935.033 	 0.00410753 	
 945.03 	 0.00415152 	
 955.217 	 0.00413067 	
 965.167 	 0.00410547 	
 975.172 	 0.00416064 	
 985.208 	 0.00419535 	
 995.395 	 0.00417948 	
 1005.22 	 0.00419865 	
 1015.11 	 0.00415692 	
 1025.45 	 0.00416008 	
 1035.53 	 0.0041867 	
 1045.42 	 0.0042377 	
 1055.34 	 0.00422814 	
 1065.87 	 0.00423057 	
 1075.31 	 0.00424454 	
 1085.55 	 0.00422842 	
 1095.78 	 0.00426283 	
 1105.65 	 0.00424827 	
 1115.57 	 0.00426546 	
 1125.71 	 0.00428536 	
 1135.85 	 0.00431794 	
 1145.71 	 0.00424135 	
 1155.68 	 0.00426434 	
 1166.12 	 0.0042749 	
 1175.91 	 0.00432405 	
 1185.78 	 0.00431661 	
 1196.08 	 0.00430147 	
 1205.86 	 0.00428809 	
 1216.18 	 0.00429678 	
 1226.08 	 0.00432773 	
 1235.77 	 0.00433279 	
 1246.14 	 0.00433085 	
 1256.22 	 0.0043289 	
 1266.05 	 0.00432016 	
 1276.14 	 0.00433899 	
 1286.23 	 0.0043903 	
 1296.2 	 0.00435773 	
 1306.1 	 0.00437999 	
 1316.54 	 0.00435264 	
 1326.32 	 0.00438835 	
 1336.11 	 0.0043716 	
 1346.65 	 0.00439235 	
 1356.49 	 0.00433618 	
 1366.75 	 0.00436816 	
 1376.43 	 0.00441028 	
 1386.35 	 0.0043987 	
 1396.87 	 0.00439573 	
 1406.63 	 0.00445143 	
 1416.44 	 0.00446924 	
 1426.73 	 0.00446361 	
 1436.78 	 0.00444446 	
 1446.73 	 0.00443073 	
 1456.62 	 0.00444349 	
 1466.99 	 0.00446094 	
 1476.83 	 0.00447369 	
 1486.72 	 0.0044132 	
 1496.91 	 0.0044361 	
 1506.99 	 0.00443189 	
 1516.95 	 0.00444965 	
 1527 	 0.00445009 	
 1536.82 	 0.00450495 	
 1547.19 	 0.00449059 	
 1557.12 	 0.00453893 	
 1566.96 	 0.0045051 	
 1577.08 	 0.00452917 	
 1587.27 	 0.00452397 	
 1597.18 	 0.00453301 	
 1607.06 	 0.00455195 	
 1617.43 	 0.00446274 	
 1627.3 	 0.00449044 	
 1637.1 	 0.00453713 	
 1647.43 	 0.00453563 	
 1657.42 	 0.0045492 	
 1667.58 	 0.00453659 	
 1677.43 	 0.00452882 	
 1687.24 	 0.004531 	
 1697.59 	 0.00454299 	
 1707.59 	 0.00459794 	
 1717.23 	 0.00458259 	

	
	
