Start Time:  5/5/2017 6:06:14 AM          Time Completed:  5/5/2017 6:07:50 AM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0192B\FORCexp0192B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#383.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#383.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0192B\FORCexp0192B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#383.dat

***DATA***

Field(G)	 Moment(emu)	
-830.438 	-0.00073923 	
-825.198 	-0.000740737 	
-815.713 	-0.000674862 	
-805.716 	-0.000711299 	
-795.702 	-0.00074215 	
-785.176 	-0.000638237 	
-775.29 	-0.000654837 	
-765.296 	-0.000619617 	
-755.035 	-0.000631965 	
-744.939 	-0.000619731 	
-735.043 	-0.000585743 	
-724.917 	-0.000541796 	
-714.41 	-0.000569992 	
-704.661 	-0.000524691 	
-694.243 	-0.000539046 	
-684.371 	-0.000481772 	
-674.554 	-0.000478132 	
-663.926 	-0.000487767 	
-654.246 	-0.000441642 	
-644.134 	-0.000430494 	
-633.723 	-0.000415127 	
-623.902 	-0.00042258 	
-613.968 	-0.000367761 	
-603.742 	-0.000387508 	
-593.578 	-0.000361261 	
-583.603 	-0.000350824 	
-573.697 	-0.000339188 	
-563.172 	-0.000306875 	
-553.311 	-0.000298895 	
-543.171 	-0.000296695 	
-533.02 	-0.00025798 	
-523.104 	-0.000277429 	
-512.833 	-0.000247454 	
-502.906 	-0.000233437 	
-492.973 	-0.00020378 	
-482.759 	-0.000205098 	
-472.649 	-0.000175431 	
-462.641 	-0.00017012 	
-452.641 	-0.000119 	
-442.276 	-0.00012678 	
-432.375 	-0.000120216 	
-422.467 	-0.000055145 	
-412.089 	-0.000102992 	
-402.106 	-0.0000743386 	
-392.126 	-0.000078781 	
-381.94 	-0.0000141238 	
-371.928 	-0.000000609943 	
-361.626 	 0.0000546846 	
-351.849 	-0.00000453576 	
-341.427 	 0.0000387005 	
-331.389 	 0.0000653511 	
-321.396 	 0.0000835321 	
-311.468 	 0.000117066 	
-301.313 	 0.00012603 	
-290.997 	 0.000100256 	
-281.138 	 0.000112415 	
-271.349 	 0.0000971071 	
-260.944 	 0.000159444 	
-250.805 	 0.000168532 	
-240.907 	 0.000205532 	
-230.851 	 0.000201562 	
-220.382 	 0.000210777 	
-210.592 	 0.000244787 	
-200.298 	 0.000274841 	
-190.367 	 0.000271829 	
-180.569 	 0.000360876 	
-169.895 	 0.000331862 	
-160.051 	 0.00030651 	
-150.443 	 0.000335021 	
-139.867 	 0.000371221 	
-129.902 	 0.000366086 	
-119.999 	 0.000361436 	
-109.89 	 0.000409181 	
-99.5575 	 0.000392839 	
-89.7677 	 0.000444178 	
-79.7995 	 0.000450675 	
-69.3338 	 0.000459243 	
-59.3454 	 0.000479024 	
-49.3948 	 0.000495116 	
-39.0906 	 0.000496413 	
-29.3321 	 0.000512614 	
-18.8567 	 0.000557359 	
-8.94856 	 0.000574721 	
 0.902171 	 0.000577759 	
 11.1355 	 0.000579792 	
 21.0204 	 0.000646182 	
 31.0995 	 0.000641581 	
 41.5777 	 0.000636247 	
 51.759 	 0.000675577 	
 61.3415 	 0.000682253 	
 71.4988 	 0.000693084 	
 81.819 	 0.000696069 	
 91.8525 	 0.000729958 	
 101.735 	 0.000759696 	
 112.124 	 0.000768584 	
 122.001 	 0.000775399 	
 132.344 	 0.000762028 	
 142.156 	 0.000819371 	
 152.111 	 0.000837437 	
 162.327 	 0.000861243 	
 172.529 	 0.000887232 	
 182.427 	 0.000897666 	
 192.424 	 0.000952839 	
 202.867 	 0.00094396 	
 212.742 	 0.00098356 	
 222.509 	 0.000947857 	
 233.072 	 0.00101972 	
 242.831 	 0.00100158 	
 252.875 	 0.00101395 	
 262.952 	 0.00109518 	
 273.339 	 0.00110204 	
 283.36 	 0.00107686 	
 293.35 	 0.0011065 	
 303.291 	 0.00113736 	
 313.25 	 0.00115189 	
 323.573 	 0.00120108 	
 333.663 	 0.00125002 	
 343.744 	 0.0012571 	
 353.737 	 0.0012842 	
 363.719 	 0.00129666 	
 374.196 	 0.0012511 	
 384.067 	 0.00136644 	
 394.164 	 0.00138152 	
 404.162 	 0.00140161 	
 414.071 	 0.00132399 	
 424.605 	 0.00138114 	
 434.346 	 0.00142246 	
 444.127 	 0.00144678 	
 454.723 	 0.00150613 	
 464.726 	 0.00153732 	
 474.537 	 0.00154724 	
 485.039 	 0.00160259 	
 494.616 	 0.00159924 	
 505.066 	 0.00161941 	
 514.97 	 0.00167654 	
 525.042 	 0.00164974 	
 535.236 	 0.00174786 	
 545.277 	 0.00182158 	
 555.461 	 0.00183954 	
 565.353 	 0.00188269 	
 575.349 	 0.00192051 	
 585.65 	 0.00191891 	
 595.708 	 0.00202071 	
 605.574 	 0.00207874 	
 615.655 	 0.00200512 	
 626.104 	 0.00209827 	
 635.931 	 0.00216158 	
 645.766 	 0.00223575 	
 656.181 	 0.00229433 	
 666.161 	 0.00231648 	
 676.267 	 0.00238141 	
 686.437 	 0.00244989 	
 696.29 	 0.00257025 	
 706.571 	 0.00256844 	
 716.605 	 0.00262817 	
 726.406 	 0.00263255 	
 736.766 	 0.00264913 	
 746.851 	 0.00271165 	
 756.774 	 0.00279678 	
 766.781 	 0.00284438 	
 777.223 	 0.00293248 	
 787.004 	 0.00297863 	
 796.973 	 0.00304585 	
 807.48 	 0.00307101 	
 817.228 	 0.00315762 	
 827.654 	 0.00327471 	
 837.516 	 0.00325535 	
 847.376 	 0.00337535 	
 857.829 	 0.00336361 	
 867.664 	 0.00336139 	
 877.549 	 0.00336272 	
 887.681 	 0.00348378 	
 898.074 	 0.00349225 	
 907.983 	 0.00355485 	
 917.887 	 0.00358799 	
 928.321 	 0.00362772 	
