Start Time:  5/5/2017 2:01:27 AM          Time Completed:  5/5/2017 2:02:09 AM      Elapsed Time:  00:00:42
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0059B\FORCexp0059B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#117.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#117.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0059B\FORCexp0059B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#117.dat

***DATA***

Field(G)	 Moment(emu)	
 514.317 	 0.00377594 	
 520.802 	 0.00379518 	
 530.03 	 0.0037707 	
 540.282 	 0.00379828 	
 550.55 	 0.00381644 	
 560.451 	 0.00384711 	
 570.447 	 0.00386648 	
 580.811 	 0.00383421 	
 590.698 	 0.00384237 	
 600.495 	 0.00383552 	
 610.953 	 0.00385504 	
 620.843 	 0.00386598 	
 630.758 	 0.0039035 	
 640.994 	 0.0039267 	
 650.883 	 0.0039121 	
 661.243 	 0.00387058 	
 671.013 	 0.00390573 	
 681.01 	 0.00391032 	
 691.127 	 0.00393666 	
 701.173 	 0.00394119 	
 711.113 	 0.00395227 	
 720.984 	 0.0039539 	
 731.453 	 0.00399604 	
 741.194 	 0.00398767 	
 751.109 	 0.00401305 	
 761.427 	 0.00399967 	
 771.36 	 0.00403365 	
 781.305 	 0.00398102 	
 791.269 	 0.00402072 	
 801.617 	 0.00405846 	
 811.644 	 0.00401755 	
 821.603 	 0.00403341 	
 831.226 	 0.00402979 	
 841.509 	 0.00404106 	
 851.812 	 0.00406089 	
 861.665 	 0.00406973 	
 871.363 	 0.00409473 	
 881.655 	 0.00410925 	
 891.862 	 0.0040876 	
 901.641 	 0.00414499 	
 911.61 	 0.00415022 	
 922.061 	 0.00416137 	
 931.799 	 0.00409801 	
 941.878 	 0.0041258 	
 951.992 	 0.00413945 	
 961.785 	 0.00415968 	
 972.167 	 0.00416393 	
 981.986 	 0.00414697 	
 991.835 	 0.00414452 	
 1002.02 	 0.00419181 	
 1012.11 	 0.00418487 	
 1022.02 	 0.00419692 	
 1032.08 	 0.00418933 	
 1042.24 	 0.00419116 	
 1052.28 	 0.00419216 	
 1062.12 	 0.00424777 	
 1072.03 	 0.0042074 	
 1082.45 	 0.00419136 	
 1092.2 	 0.00427424 	
 1102.3 	 0.00423707 	
 1112.43 	 0.00426966 	
 1122.26 	 0.00423828 	
 1132.21 	 0.00429656 	
 1142.58 	 0.00424265 	
 1152.39 	 0.0042856 	
 1162.24 	 0.0042718 	
 1172.58 	 0.00426844 	
 1182.59 	 0.00426132 	
 1192.53 	 0.00429911 	
 1202.76 	 0.0043067 	
 1212.31 	 0.00428857 	
 1222.71 	 0.0043252 	
 1232.58 	 0.00432255 	
 1242.62 	 0.00434773 	
 1252.82 	 0.0043498 	
 1262.65 	 0.00433177 	
 1272.92 	 0.00430807 	
 1282.77 	 0.00434275 	
 1292.69 	 0.00439313 	
 1302.9 	 0.00440064 	
 1312.95 	 0.0044222 	
 1322.85 	 0.00436806 	
 1332.74 	 0.00433852 	
 1343.14 	 0.0043763 	
 1352.95 	 0.004405 	
 1363.17 	 0.00440566 	
 1373.05 	 0.0043895 	
 1382.85 	 0.00438485 	
 1393.27 	 0.00444535 	
 1403.13 	 0.00442238 	
 1413.05 	 0.00448484 	
 1423.22 	 0.0044298 	
 1433.27 	 0.00442313 	
 1443.17 	 0.0044211 	
 1453.05 	 0.00447194 	
 1463.5 	 0.00449468 	
 1473.26 	 0.00449395 	
 1483.14 	 0.00444447 	
 1493.6 	 0.00445377 	
 1503.3 	 0.00445586 	
 1513.39 	 0.00449959 	
 1523.43 	 0.00449158 	
 1533.45 	 0.00450562 	
 1543.76 	 0.00449412 	
 1553.58 	 0.00446948 	
 1563.36 	 0.00446937 	
 1573.5 	 0.00451038 	
 1583.67 	 0.00447177 	
 1593.45 	 0.00449956 	
 1603.5 	 0.00451592 	
 1613.95 	 0.00452508 	
 1623.64 	 0.00455568 	
 1633.8 	 0.0045307 	
 1643.69 	 0.00452669 	
 1653.66 	 0.00454791 	
 1663.65 	 0.00456123 	
 1673.81 	 0.004542 	

	
	
