Start Time:  5/5/2017 8:38:23 AM          Time Completed:  5/5/2017 8:39:59 AM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0262B\FORCexp0262B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#523.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#523.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0262B\FORCexp0262B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#523.dat

***DATA***

Field(G)	 Moment(emu)	
-1537.77 	-0.00423993 	
-1531.18 	-0.00432411 	
-1521.87 	-0.00421581 	
-1511.58 	-0.00426587 	
-1501.35 	-0.00424477 	
-1491.45 	-0.00427445 	
-1481.42 	-0.00425569 	
-1470.89 	-0.00426406 	
-1461.12 	-0.00424367 	
-1451.07 	-0.00424608 	
-1440.83 	-0.00421291 	
-1430.72 	-0.00420304 	
-1420.8 	-0.00422654 	
-1410.54 	-0.00420649 	
-1400.45 	-0.00422059 	
-1390.5 	-0.00420479 	
-1380.03 	-0.00419782 	
-1370.29 	-0.00419015 	
-1360.07 	-0.00417522 	
-1349.91 	-0.00416525 	
-1340.05 	-0.00418876 	
-1329.97 	-0.00414579 	
-1319.65 	-0.00416305 	
-1309.66 	-0.00413902 	
-1299.65 	-0.00412398 	
-1289.74 	-0.00413822 	
-1279.68 	-0.00413912 	
-1269.2 	-0.00410867 	
-1259.19 	-0.00410145 	
-1249.08 	-0.00405935 	
-1239.17 	-0.00408202 	
-1229.28 	-0.00411462 	
-1218.78 	-0.00407503 	
-1208.84 	-0.00407499 	
-1198.8 	-0.00407604 	
-1188.8 	-0.00405197 	
-1178.94 	-0.00406955 	
-1168.35 	-0.00405056 	
-1158.6 	-0.00403601 	
-1148.4 	-0.00403811 	
-1138.19 	-0.00403973 	
-1128.32 	-0.00403375 	
-1117.99 	-0.00403452 	
-1108.08 	-0.00399629 	
-1098.22 	-0.00401302 	
-1087.71 	-0.00397078 	
-1077.79 	-0.00397742 	
-1067.88 	-0.00398286 	
-1057.87 	-0.00398852 	
-1047.5 	-0.00392951 	
-1037.57 	-0.0039419 	
-1027.57 	-0.00393781 	
-1017.32 	-0.00391674 	
-1007.28 	-0.00391035 	
-997.432 	-0.00395535 	
-987.164 	-0.0039376 	
-977.06 	-0.00391735 	
-966.765 	-0.00390185 	
-956.988 	-0.00390887 	
-947.002 	-0.0039025 	
-936.703 	-0.00392557 	
-926.603 	-0.00385892 	
-916.407 	-0.00389198 	
-906.455 	-0.00387406 	
-896.565 	-0.00388265 	
-886.328 	-0.00384502 	
-876.218 	-0.00384979 	
-866.29 	-0.00380505 	
-856.225 	-0.00380711 	
-845.792 	-0.00381187 	
-835.826 	-0.00382586 	
-826.149 	-0.00380476 	
-815.788 	-0.00381255 	
-805.589 	-0.00382115 	
-795.805 	-0.00379385 	
-785.705 	-0.00379963 	
-775.314 	-0.00371849 	
-765.399 	-0.00371892 	
-755.53 	-0.00371725 	
-745.087 	-0.00372545 	
-735.239 	-0.00370236 	
-725.336 	-0.00372438 	
-714.911 	-0.00374772 	
-704.967 	-0.00372443 	
-694.865 	-0.00368429 	
-684.759 	-0.00367597 	
-674.719 	-0.00363364 	
-664.565 	-0.0036052 	
-654.518 	-0.00361446 	
-644.539 	-0.00363621 	
-634.523 	-0.00363099 	
-624.153 	-0.0036481 	
-614.246 	-0.00363177 	
-604.285 	-0.00359062 	
-593.887 	-0.00355177 	
-584.039 	-0.00359201 	
-574.068 	-0.00358954 	
-563.763 	-0.00359762 	
-553.767 	-0.0035492 	
-543.699 	-0.00354473 	
-533.814 	-0.00355339 	
-523.365 	-0.00356811 	
-513.311 	-0.00354534 	
-503.298 	-0.00353577 	
-493.175 	-0.00353391 	
-483.284 	-0.00351713 	
-473.284 	-0.00344466 	
-463.046 	-0.00346046 	
-452.932 	-0.00345312 	
-443.055 	-0.00348647 	
-433.007 	-0.00346146 	
-422.543 	-0.00341121 	
-412.731 	-0.00342511 	
-402.878 	-0.00337722 	
-392.428 	-0.00338001 	
-382.523 	-0.00339089 	
-372.213 	-0.00336561 	
-362.371 	-0.00336884 	
-352.405 	-0.00331929 	
-342.048 	-0.00333174 	
-332.12 	-0.00331743 	
-322.158 	-0.00329512 	
-312.02 	-0.00332813 	
-301.801 	-0.00330819 	
-291.824 	-0.00329868 	
-281.756 	-0.00325078 	
-271.569 	-0.0032405 	
-261.61 	-0.00323854 	
-251.681 	-0.00323283 	
-241.154 	-0.00318794 	
-231.421 	-0.00317173 	
-220.959 	-0.00315333 	
-211.179 	-0.00319082 	
-201.358 	-0.00320099 	
-190.881 	-0.00314231 	
-180.878 	-0.00315262 	
-171.008 	-0.00310245 	
-160.683 	-0.00311355 	
-150.625 	-0.00312624 	
-140.705 	-0.00311775 	
-130.62 	-0.00309679 	
-120.393 	-0.00310093 	
-110.391 	-0.0030494 	
-100.611 	-0.00298588 	
-90.0904 	-0.00298721 	
-80.1462 	-0.00299493 	
-69.9448 	-0.00297149 	
-59.9839 	-0.00295034 	
-49.992 	-0.00298413 	
-40.0208 	-0.00297908 	
-30.0049 	-0.00294651 	
-19.5456 	-0.00295817 	
-9.82593 	-0.00291416 	
-0.113695 	-0.00293463 	
 10.7645 	-0.0028928 	
 20.8263 	-0.0029038 	
