Start Time:  5/5/2017 1:42:50 AM          Time Completed:  5/5/2017 1:43:22 AM      Elapsed Time:  00:00:32
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0042B\FORCexp0042B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#83.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#83.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0042B\FORCexp0042B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#83.dat

***DATA***

Field(G)	 Moment(emu)	
 686.862 	 0.00394448 	
 694.044 	 0.00395811 	
 703.538 	 0.00394122 	
 713.902 	 0.00393344 	
 723.856 	 0.00397755 	
 733.712 	 0.00398984 	
 743.909 	 0.00401992 	
 753.984 	 0.00400126 	
 763.907 	 0.00401185 	
 773.793 	 0.00398049 	
 783.943 	 0.00402276 	
 793.937 	 0.00404827 	
 804.121 	 0.00405044 	
 813.853 	 0.00403872 	
 823.706 	 0.00405118 	
 834.085 	 0.00408059 	
 844.052 	 0.00406573 	
 853.809 	 0.0040823 	
 863.975 	 0.00408165 	
 873.975 	 0.00411938 	
 883.884 	 0.00411938 	
 893.845 	 0.00410876 	
 904.03 	 0.00412443 	
 913.97 	 0.00411629 	
 923.807 	 0.00414938 	
 934.069 	 0.00411839 	
 943.898 	 0.00412413 	
 954.198 	 0.0041368 	
 963.865 	 0.00415013 	
 973.791 	 0.00421529 	
 984.059 	 0.00419971 	
 993.997 	 0.00418113 	
 1003.81 	 0.0041608 	
 1013.91 	 0.00420798 	
 1023.97 	 0.00417404 	
 1033.83 	 0.00418677 	
 1043.79 	 0.00417715 	
 1054.1 	 0.00425569 	
 1063.9 	 0.00421177 	
 1073.98 	 0.00422041 	
 1083.87 	 0.00421793 	
 1093.69 	 0.00424422 	
 1104.18 	 0.00421722 	
 1113.85 	 0.00422993 	
 1123.67 	 0.00423465 	
 1134.08 	 0.00428709 	
 1143.76 	 0.00428507 	
 1153.76 	 0.00428819 	
 1163.85 	 0.00428639 	
 1174.09 	 0.00430269 	
 1183.78 	 0.00432207 	
 1193.64 	 0.00431512 	
 1203.97 	 0.00435279 	
 1213.77 	 0.00429981 	
 1223.59 	 0.00432204 	
 1233.82 	 0.00436194 	
 1243.84 	 0.0043607 	
 1253.56 	 0.00434343 	
 1263.66 	 0.00437552 	
 1273.81 	 0.00433843 	
 1283.68 	 0.00434538 	
 1293.59 	 0.00434989 	
 1303.82 	 0.00437168 	
 1313.65 	 0.00435119 	
 1323.52 	 0.00439178 	
 1333.8 	 0.00440942 	
 1343.68 	 0.00439347 	
 1353.7 	 0.00442067 	
 1363.48 	 0.00437791 	
 1373.87 	 0.00441087 	
 1383.79 	 0.00441341 	
 1393.8 	 0.00442327 	
 1403.6 	 0.00443371 	
 1413.43 	 0.00442876 	
 1423.88 	 0.0044178 	
 1433.64 	 0.00443899 	
 1443.32 	 0.00442243 	
 1453.62 	 0.00446789 	
 1463.63 	 0.00444324 	
 1473.33 	 0.00446338 	
 1483.5 	 0.00444596 	
 1493.74 	 0.00443394 	
 1503.59 	 0.00446106 	

	
	
