Start Time:  5/5/2017 4:39:23 AM          Time Completed:  5/5/2017 4:40:59 AM      Elapsed Time:  00:01:36
Sample ID:     FORC_desvirgao3

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0151B\FORCexp0151B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#301.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#301.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0151B\FORCexp0151B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao3 (ProfileData)\FORC_desvirgao3#301.dat

***DATA***

Field(G)	 Moment(emu)	
-415.624 	 0.0022777 	
-409.134 	 0.00226083 	
-399.45 	 0.00230153 	
-389.442 	 0.00229777 	
-379.445 	 0.00233658 	
-368.808 	 0.00233281 	
-358.774 	 0.002356 	
-348.914 	 0.00236659 	
-338.897 	 0.00240262 	
-328.842 	 0.00244529 	
-318.553 	 0.00245002 	
-308.632 	 0.00246872 	
-298.289 	 0.00248579 	
-288.292 	 0.00247657 	
-278.415 	 0.00248099 	
-268.021 	 0.00253795 	
-258.106 	 0.00254216 	
-247.988 	 0.00256678 	
-237.801 	 0.00253788 	
-227.755 	 0.00261521 	
-217.55 	 0.00257544 	
-207.544 	 0.0026383 	
-197.702 	 0.00264859 	
-187.39 	 0.0027091 	
-177.273 	 0.00266937 	
-167.302 	 0.0026692 	
-157.416 	 0.00266741 	
-147.073 	 0.00268822 	
-137.002 	 0.00270877 	
-127.038 	 0.00272691 	
-116.978 	 0.00273064 	
-106.914 	 0.00275408 	
-96.5849 	 0.00280596 	
-86.6921 	 0.00281637 	
-76.3704 	 0.00285089 	
-66.5158 	 0.00282974 	
-56.5857 	 0.00288092 	
-46.1614 	 0.00284227 	
-36.2862 	 0.0028843 	
-26.3256 	 0.0029319 	
-16.1115 	 0.00292373 	
-5.8983 	 0.00294951 	
 4.03367 	 0.00293017 	
 14.3721 	 0.00298098 	
 24.1531 	 0.00298353 	
 34.2244 	 0.00299781 	
 44.0797 	 0.00300189 	
 54.7741 	 0.00302268 	
 64.765 	 0.0029918 	
 74.4589 	 0.00305562 	
 85.0606 	 0.00307615 	
 95.1576 	 0.00309202 	
 104.688 	 0.00310394 	
 115.032 	 0.00311822 	
 125.138 	 0.0031278 	
 134.926 	 0.00312278 	
 145.259 	 0.00314811 	
 155.414 	 0.00312839 	
 165.379 	 0.0031913 	
 175.398 	 0.00321253 	
 185.654 	 0.00323591 	
 195.585 	 0.00321166 	
 205.55 	 0.00325451 	
 215.795 	 0.00324986 	
