Start Time:  5/5/2017 12:29:10 AM         Time Completed:  5/5/2017 12:29:31 AM     Elapsed Time:  00:00:21
Sample ID:     FORC_desvirgao2

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0170B\FORCexp0170B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#339.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#339.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0170B\FORCexp0170B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#339.dat

***DATA***

Field(G)	 Moment(emu)	
-2642.45 	-0.00484627 	
-2640.52 	-0.00489557 	
-2629.71 	-0.00490167 	
-2614.09 	-0.00491369 	
-2595.2 	-0.00485731 	
-2574.53 	-0.00481183 	
-2553.14 	-0.00483881 	
-2531.6 	-0.00505517 	
-2508.23 	-0.00513727 	
-2484.78 	-0.00494692 	
-2461.82 	-0.00493962 	
-2434.35 	-0.00484999 	
-2412.68 	-0.00466899 	
-2390.68 	-0.00503072 	
-2367.27 	-0.00501631 	
-2344.04 	-0.00504476 	
-2321.71 	-0.00498905 	
-2299.63 	-0.00483913 	
-2276.52 	-0.0047162 	
-2252.95 	-0.00461224 	
-2230.29 	-0.00480277 	
-2203.76 	-0.00499572 	
-2182.1 	-0.0050879 	
-2159.63 	-0.00501454 	
-2136.53 	-0.00471267 	
-2113.6 	-0.00468122 	
-2090.8 	-0.00477368 	
-2069.12 	-0.00477552 	
-2046.46 	-0.00489324 	
-2023.28 	-0.00478782 	
-2000.36 	-0.00470398 	
-1972.71 	-0.00457784 	
-1951.43 	-0.00458484 	
-1930.01 	-0.00474137 	
-1907.18 	-0.00486437 	
-1884.56 	-0.00481964 	
-1861.25 	-0.00470141 	
-1839.75 	-0.00453411 	
-1817.18 	-0.00444329 	
-1793.85 	-0.00460917 	
-1770.16 	-0.00475581 	
-1743.3 	-0.00465897 	
-1721.97 	-0.00465141 	
-1700.67 	-0.00440944 	
-1678.2 	-0.00466119 	
-1655.1 	-0.0048566 	
-1627.59 	-0.00480898 	
-1607.1 	-0.00470634 	
-1585.66 	-0.00472545 	
-1563.33 	-0.00452422 	
-1539.81 	-0.00448487 	
-1516.2 	-0.00452341 	
-1495 	-0.00458665 	
-1473.08 	-0.00427583 	
-1449.42 	-0.0043245 	
-1425.89 	-0.00425907 	
-1402.64 	-0.00427758 	
-1376.42 	-0.00455892 	
-1355.68 	-0.00460182 	
-1333.51 	-0.00470622 	
-1311.03 	-0.00470623 	
-1288.2 	-0.00456332 	
-1265.64 	-0.0042625 	
-1243.55 	-0.00408427 	
-1220.41 	-0.00411458 	
-1197.24 	-0.0043874 	
-1173.83 	-0.00447308 	
-1147.81 	-0.00430868 	
-1126.35 	-0.00444321 	
-1104.83 	-0.0044635 	
-1082.12 	-0.00462333 	
-1058.82 	-0.0046983 	
-1035.65 	-0.00455865 	
-1014.07 	-0.00436698 	
-991.587 	-0.00413096 	
-968.149 	-0.00398399 	
-945.031 	-0.0039929 	
-921.758 	-0.00430604 	
-897.042 	-0.00407527 	
-875.016 	-0.00408157 	
-852.032 	-0.00417477 	
-829.552 	-0.00395915 	
-806.691 	-0.0038825 	
-781.028 	-0.00401849 	
-760.887 	-0.00404272 	
-738.645 	-0.00387138 	
-715.416 	-0.0038212 	
-692.578 	-0.00385107 	
-669.915 	-0.00397076 	
-648.138 	-0.00405348 	
-624.63 	-0.00403447 	
-602.091 	-0.00372171 	
-578.47 	-0.00395538 	
-551.934 	-0.00375701 	
-530.497 	-0.0036792 	
-508.308 	-0.00368136 	
-485.065 	-0.00372426 	
-465.782 	-0.00388152 	
-438.354 	-0.00387966 	
-416.794 	-0.00389338 	
-391.467 	-0.00356615 	
-370.72 	-0.00356579 	
-349.154 	-0.00358382 	
-326.322 	-0.00373965 	
-304.499 	-0.00361617 	
-281.831 	-0.00361752 	
-258.422 	-0.00347079 	
-235.035 	-0.00336571 	
-208.323 	-0.00325291 	
-187.953 	-0.00338879 	
-165.629 	-0.00326686 	
-142.804 	-0.00346791 	
-119.837 	-0.00339638 	
-96.8732 	-0.00330202 	
-76.1644 	-0.00346592 	
-53.3558 	-0.00344954 	
-29.5793 	-0.00328838 	
-6.313 	-0.00345976 	
 17.3681 	-0.00338164 	
 42.0668 	-0.0030644 	
 64.5076 	-0.00301677 	
 86.6805 	-0.00313169 	
 109.234 	-0.00337279 	
 131.927 	-0.0034003 	
 158.074 	-0.00312911 	
 178.271 	-0.00286368 	
 200.513 	-0.00281409 	
 223.439 	-0.00296627 	
 245.7 	-0.00271178 	
 268.903 	-0.00279998 	
 291.037 	-0.00285878 	
 313.907 	-0.00261673 	
 336.752 	-0.00266707 	
 360.425 	-0.00254935 	
 386.668 	-0.00240751 	
 407.994 	-0.00232013 	
 430.206 	-0.00238955 	
 452.624 	-0.00223663 	
 475.041 	-0.00209888 	
 497.413 	-0.00191439 	
 520.368 	-0.00201095 	
 542.583 	-0.00216575 	
 566.114 	-0.00209315 	
 589.245 	-0.00192268 	
 615.411 	-0.00159695 	
 636.597 	-0.00126461 	
 658.914 	-0.00112326 	

	
	
