Start Time:  5/4/2017 11:01:32 PM         Time Completed:  5/4/2017 11:01:45 PM     Elapsed Time:  00:00:13
Sample ID:     FORC_desvirgao2

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0038B\FORCexp0038B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#75.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#75.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0038B\FORCexp0038B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#75.dat

***DATA***

Field(G)	 Moment(emu)	
 397.82 	 0.00366229 	
 399.596 	 0.00364093 	
 409.986 	 0.00348568 	
 425.755 	 0.00369939 	
 444.945 	 0.00381159 	
 466.082 	 0.00368972 	
 490.033 	 0.00372148 	
 512.042 	 0.00359393 	
 534.91 	 0.00355546 	
 557.675 	 0.00377155 	
 580.25 	 0.00369823 	
 601.554 	 0.00347354 	
 625.466 	 0.00368221 	
 647.326 	 0.00361344 	
 671.655 	 0.00376441 	
 695.166 	 0.00398006 	
 719.922 	 0.0039039 	
 741.489 	 0.00393702 	
 764.313 	 0.00401172 	
 786.961 	 0.00416612 	
 809.984 	 0.00422933 	
 834.567 	 0.00432658 	
 857.117 	 0.00420099 	
 879.322 	 0.00395901 	
 902.104 	 0.00393391 	
 924.577 	 0.00418754 	
 946.973 	 0.00430666 	
 968.504 	 0.00435789 	
 991.625 	 0.00427485 	
 1013.99 	 0.00430609 	
 1038 	 0.00421004 	
 1064.11 	 0.00421355 	
 1084.73 	 0.00432322 	
 1106.78 	 0.00430976 	
 1129.62 	 0.00421304 	
 1152.41 	 0.00410256 	
 1174.89 	 0.00415515 	
 1196.49 	 0.00393663 	
 1219.85 	 0.00411335 	
 1246.08 	 0.00417217 	
 1268.29 	 0.00429235 	
 1290.26 	 0.00441674 	
 1311.55 	 0.00432763 	
 1333.6 	 0.00452477 	
 1356.69 	 0.00461756 	
 1379.9 	 0.00447838 	
 1406.97 	 0.00433073 	
 1427.35 	 0.00430275 	
 1448.97 	 0.00428749 	
 1471.02 	 0.00446814 	
 1494.07 	 0.00462411 	
 1517.2 	 0.0044307 	
 1537.55 	 0.00447149 	
 1560.66 	 0.00433309 	
 1584.49 	 0.00443881 	
 1607.38 	 0.00461546 	
 1630.68 	 0.00465276 	
 1655.2 	 0.0044852 	
 1677.25 	 0.00442711 	
 1698.5 	 0.00464895 	
 1721.63 	 0.00458786 	
 1747.26 	 0.00441004 	
 1767.49 	 0.00446605 	
 1788.66 	 0.00461158 	
 1811.9 	 0.00472704 	
 1834.91 	 0.00451365 	
 1862.02 	 0.00444502 	
 1878.9 	 0.0045181 	
 1900.94 	 0.00468341 	
 1928.21 	 0.00475251 	
 1950.52 	 0.00481177 	
 1972.79 	 0.00447158 	
 1994.28 	 0.00457428 	
 2016.2 	 0.00446245 	
 2039.57 	 0.00443054 	

	
	
