Start Time:  5/4/2017 10:59:00 PM         Time Completed:  5/4/2017 10:59:13 PM     Elapsed Time:  00:00:13
Sample ID:     FORC_desvirgao2

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0033B\FORCexp0033B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#65.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#65.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0033B\FORCexp0033B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#65.dat

***DATA***

Field(G)	 Moment(emu)	
 513.061 	 0.00377255 	
 519.107 	 0.00370464 	
 532.548 	 0.00387984 	
 550.142 	 0.00391964 	
 570.303 	 0.00378528 	
 594.658 	 0.00368617 	
 615.262 	 0.00358173 	
 637.754 	 0.0037767 	
 660.674 	 0.00398261 	
 683.701 	 0.00393295 	
 706.332 	 0.00376283 	
 728.192 	 0.00389125 	
 754.502 	 0.00411181 	
 777.757 	 0.00405238 	
 800.034 	 0.00398002 	
 822.594 	 0.00391313 	
 844.368 	 0.00415167 	
 867.299 	 0.00398626 	
 889.941 	 0.00402844 	
 912.718 	 0.00408582 	
 938.684 	 0.00414992 	
 959.187 	 0.0042861 	
 981.624 	 0.0042882 	
 1004.39 	 0.00409312 	
 1027.03 	 0.00417994 	
 1049.36 	 0.00427254 	
 1070.96 	 0.00421767 	
 1094.29 	 0.00434517 	
 1117.34 	 0.00417304 	
 1139.67 	 0.00432374 	
 1166.75 	 0.0041501 	
 1188.33 	 0.0040987 	
 1209.79 	 0.00439769 	
 1232.23 	 0.00447468 	
 1254.78 	 0.00439714 	
 1277.68 	 0.00425243 	
 1299.31 	 0.00440256 	
 1321.68 	 0.00428111 	
 1344.79 	 0.00420336 	
 1366.97 	 0.00422351 	
 1393.53 	 0.00436675 	
 1414.43 	 0.00456907 	
 1435.44 	 0.0044116 	
 1458.27 	 0.00428501 	
 1481.47 	 0.00430856 	
 1504.39 	 0.00442339 	
 1528.73 	 0.00428852 	
 1550.47 	 0.00435669 	
 1572.36 	 0.00456397 	
 1595.08 	 0.00487125 	
 1618.46 	 0.00484525 	
 1641.26 	 0.00483165 	
 1662.84 	 0.00485909 	
 1685.67 	 0.00483323 	
 1708.28 	 0.00472523 	
 1731.04 	 0.00459322 	
 1756.97 	 0.00464438 	
 1777.9 	 0.00451992 	
 1798.92 	 0.00460147 	
 1822.41 	 0.00463092 	
 1845.32 	 0.00468332 	
 1871.07 	 0.00462723 	
 1890.73 	 0.00473524 	
 1913.15 	 0.00464369 	
 1935.78 	 0.00477347 	

	
	
