Start Time:  5/4/2017 10:58:01 PM         Time Completed:  5/4/2017 10:58:13 PM     Elapsed Time:  00:00:12
Sample ID:     FORC_desvirgao2

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0031B\FORCexp0031B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#61.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#61.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0031B\FORCexp0031B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#61.dat

***DATA***

Field(G)	 Moment(emu)	
 558.998 	 0.00381133 	
 560.5 	 0.00380993 	
 571.466 	 0.00376155 	
 587.861 	 0.00361403 	
 606.689 	 0.003834 	
 627.427 	 0.00393148 	
 647.233 	 0.00392319 	
 670.595 	 0.00391547 	
 694.219 	 0.00377295 	
 717.561 	 0.00380211 	
 765.594 	 0.00378322 	
 787.861 	 0.00389948 	
 810.566 	 0.0039628 	
 832.493 	 0.00415236 	
 855.352 	 0.00425436 	
 876.549 	 0.00396401 	
 900.704 	 0.00395165 	
 924.129 	 0.00421372 	
 947.235 	 0.00432031 	
 969.513 	 0.00419144 	
 995.695 	 0.00411819 	
 1015.73 	 0.00433632 	
 1038.13 	 0.0044213 	
 1060.23 	 0.00411536 	
 1083.6 	 0.00406467 	
 1109.64 	 0.00406441 	
 1130.17 	 0.00412967 	
 1152.16 	 0.00433808 	
 1174.91 	 0.00444371 	
 1197.3 	 0.00421386 	
 1219.65 	 0.00410796 	
 1240.97 	 0.00435308 	
 1267.16 	 0.00426574 	
 1289.38 	 0.00414861 	
 1312.08 	 0.00412189 	
 1334.26 	 0.0042707 	
 1355.89 	 0.00424631 	
 1378.58 	 0.00441131 	
 1401.65 	 0.00452361 	
 1423.94 	 0.00432305 	
 1450.52 	 0.00443238 	
 1471.08 	 0.00425291 	
 1493.27 	 0.0042767 	
 1515.32 	 0.0045103 	
 1538.34 	 0.00462284 	
 1560.72 	 0.00451435 	
 1582.5 	 0.00448815 	
 1605.42 	 0.0043655 	
 1628.71 	 0.00436249 	
 1650.86 	 0.00451595 	
 1677.42 	 0.0046581 	
 1697.7 	 0.00478161 	
 1719.56 	 0.00480287 	
 1741.86 	 0.0047305 	
 1764.97 	 0.00460761 	
 1787.42 	 0.00472463 	
 1809.23 	 0.0046653 	
 1832.14 	 0.00482898 	
 1855.01 	 0.00481293 	
 1877.85 	 0.00487125 	
 1904.28 	 0.00454407 	

	
	
