Start Time:  5/4/2017 11:40:06 PM         Time Completed:  5/4/2017 11:40:27 PM     Elapsed Time:  00:00:21
Sample ID:     FORC_desvirgao2

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0101B\FORCexp0101B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#201.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#201.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0101B\FORCexp0101B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#201.dat

***DATA***

Field(G)	 Moment(emu)	
-1053.06 	-0.00274367 	
-1047.92 	-0.00272942 	
-1033.97 	-0.00285932 	
-1015.93 	-0.00277592 	
-995.759 	-0.00267809 	
-970.024 	-0.00270598 	
-949.45 	-0.00262493 	
-927.795 	-0.00273634 	
-904.687 	-0.00278659 	
-881.754 	-0.00271807 	
-858.872 	-0.00241089 	
-836.434 	-0.00240832 	
-813.532 	-0.00262307 	
-790.341 	-0.00246423 	
-766.461 	-0.00256199 	
-738.717 	-0.00236424 	
-717.322 	-0.00237526 	
-695.586 	-0.00221518 	
-673.026 	-0.00223059 	
-650.971 	-0.00226792 	
-623.044 	-0.00220323 	
-602.451 	-0.00229492 	
-581.035 	-0.00224317 	
-557.589 	-0.00217545 	
-537.944 	-0.00228477 	
-509.935 	-0.00238472 	
-488.288 	-0.00226621 	
-466.42 	-0.00232488 	
-443.615 	-0.00220203 	
-420.954 	-0.00212228 	
-398.509 	-0.0020474 	
-372.831 	-0.00181691 	
-350.586 	-0.00195771 	
-327.846 	-0.0020096 	
-305.271 	-0.00175825 	
-282.264 	-0.0017092 	
-259.896 	-0.00195703 	
-237.89 	-0.00189833 	
-215.501 	-0.00176714 	
-191.393 	-0.00180602 	
-168.628 	-0.001821 	
-142.031 	-0.00160113 	
-120.919 	-0.00146465 	
-98.7886 	-0.00149089 	
-76.082 	-0.00171781 	
-53.2013 	-0.00176598 	
-30.8355 	-0.00159511 	
-9.56203 	-0.0015405 	
 13.5028 	-0.00131933 	
 37.176 	-0.00131525 	
 61.2797 	-0.00154926 	
 87.4784 	-0.00159702 	
 108.256 	-0.00119055 	
 130.918 	-0.00106422 	
 153.57 	-0.000982239 	
 176.613 	-0.00103235 	
 199.349 	-0.00125885 	
 221.282 	-0.00105905 	
 243.538 	-0.00123329 	
 266.664 	-0.00143311 	
 289.672 	-0.00114885 	
 317.352 	-0.000945081 	
 338.281 	-0.000864877 	
 359.612 	-0.000815771 	
 382.185 	-0.000925564 	
 405.087 	-0.000823144 	
 428.081 	-0.000472267 	
 449.768 	-0.000427532 	
 471.454 	-0.000593845 	
 498.622 	-0.000772888 	
 522.035 	-0.000862109 	
 545.078 	-0.000331283 	
 566.377 	-0.000147214 	
 588.396 	 0.0000838248 	
 611.022 	 0.000251005 	
 634.168 	 0.000238123 	
 661.338 	 0.0000654753 	
 681.591 	 0.000172683 	
 702.206 	 0.000520682 	
 724.857 	 0.000509231 	
 748.615 	 0.000766655 	
 771.922 	 0.000956879 	
 793.685 	 0.00123123 	
 816.431 	 0.00130455 	
 839.387 	 0.00157813 	
 862.848 	 0.00199149 	
 890.075 	 0.00237201 	
 910.207 	 0.00244796 	
 931.806 	 0.0026978 	
 954.412 	 0.00281258 	
 977.59 	 0.00310265 	
 1000.53 	 0.00329406 	
 1021.63 	 0.00309064 	
 1045.2 	 0.00341629 	
 1068.65 	 0.0035218 	
 1091.99 	 0.00356555 	
 1114.86 	 0.00360689 	
 1140.78 	 0.00394151 	
 1161.07 	 0.00405631 	
 1183.34 	 0.00398175 	
 1205.92 	 0.00410804 	
 1229.57 	 0.00407108 	
 1252.2 	 0.00422895 	
 1274.29 	 0.00421355 	
 1297.12 	 0.00443805 	
 1320.58 	 0.00449153 	
 1343.55 	 0.00431708 	
 1369.29 	 0.00441356 	
 1390.58 	 0.00431997 	
 1412.86 	 0.00438061 	
 1435.24 	 0.00458926 	
 1458.33 	 0.00462228 	
 1481.12 	 0.00431069 	
 1502.93 	 0.00455167 	
 1526.07 	 0.00436266 	
 1549.5 	 0.00423253 	
 1572.52 	 0.00440627 	
 1598.72 	 0.00467143 	
 1619 	 0.00455361 	
 1641.01 	 0.00464571 	
 1664.08 	 0.00448486 	
 1686.71 	 0.00449316 	
 1712.78 	 0.00477354 	
 1733.34 	 0.00471661 	
 1755.69 	 0.00480585 	
 1778.55 	 0.00461913 	
 1801.36 	 0.00437188 	
 1823.88 	 0.00427334 	
 1845.73 	 0.00434858 	
 1869.26 	 0.00458109 	
 1892.32 	 0.00476237 	
 1915.04 	 0.00438054 	
 1941.31 	 0.00430455 	
 1963.03 	 0.00452241 	
 1985.36 	 0.00460706 	
 2007.53 	 0.00478855 	
 2030.26 	 0.00487135 	
 2052.14 	 0.00457945 	
 2074.16 	 0.00488682 	
 2097.65 	 0.00477058 	
 2120.37 	 0.00504276 	
 2143.94 	 0.00509736 	
 2169.99 	 0.00504965 	
 2191.66 	 0.00513198 	
 2213.92 	 0.00495708 	
 2236.18 	 0.00472677 	
 2258.69 	 0.00462131 	

	
	
