Start Time:  5/5/2017 12:25:26 AM         Time Completed:  5/5/2017 12:25:47 AM     Elapsed Time:  00:00:21
Sample ID:     FORC_desvirgao2

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0165B\FORCexp0165B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#329.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#329.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0165B\FORCexp0165B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#329.dat

***DATA***

Field(G)	 Moment(emu)	
-2527.27 	-0.00484103 	
-2525.53 	-0.00482268 	
-2515.65 	-0.00493203 	
-2499.92 	-0.00489079 	
-2481.09 	-0.00478328 	
-2460.1 	-0.00474452 	
-2436.25 	-0.00467372 	
-2413.79 	-0.00477462 	
-2390.93 	-0.0049246 	
-2368.19 	-0.00498496 	
-2344.96 	-0.00492266 	
-2323.62 	-0.00499539 	
-2299.67 	-0.00481358 	
-2276.76 	-0.00503659 	
-2252.72 	-0.00513237 	
-2229.29 	-0.0049973 	
-2204.4 	-0.00483769 	
-2181.96 	-0.00472704 	
-2159.33 	-0.00460546 	
-2136.15 	-0.00465866 	
-2113.73 	-0.00491725 	
-2091.76 	-0.00516002 	
-2069.1 	-0.00491426 	
-2045.82 	-0.00496756 	
-2022.23 	-0.00468414 	
-1994.99 	-0.00468194 	
-1973.97 	-0.00471091 	
-1952.23 	-0.00484154 	
-1929.81 	-0.00480046 	
-1906.71 	-0.00467644 	
-1883.99 	-0.0044801 	
-1859.65 	-0.00470522 	
-1838.07 	-0.00439165 	
-1814.48 	-0.0045418 	
-1791.59 	-0.00443819 	
-1768.37 	-0.004401 	
-1747.59 	-0.00470202 	
-1723.58 	-0.00461665 	
-1700.23 	-0.00449395 	
-1677.07 	-0.00453294 	
-1654.16 	-0.00471189 	
-1630.43 	-0.00457089 	
-1607.89 	-0.00454817 	
-1584.92 	-0.00452749 	
-1562.34 	-0.00470781 	
-1539.1 	-0.00473483 	
-1516.72 	-0.00449332 	
-1494.63 	-0.00446846 	
-1471.61 	-0.00431276 	
-1448.84 	-0.00456779 	
-1426.04 	-0.00435985 	
-1398.47 	-0.00455026 	
-1377.72 	-0.00465656 	
-1355.69 	-0.00463115 	
-1332.73 	-0.00438856 	
-1310.01 	-0.00427749 	
-1287.42 	-0.00438645 	
-1265.7 	-0.00434642 	
-1242.71 	-0.00452341 	
-1220.02 	-0.00434134 	
-1197.06 	-0.00425858 	
-1169.76 	-0.00421172 	
-1148.32 	-0.00400613 	
-1125.97 	-0.00413918 	
-1103.75 	-0.00442583 	
-1080.76 	-0.00447691 	
-1057.82 	-0.00424346 	
-1036.22 	-0.00414317 	
-1013.88 	-0.00405291 	
-990.598 	-0.00377167 	
-966.995 	-0.00417301 	
-943.681 	-0.00439867 	
-919.491 	-0.00424824 	
-897.321 	-0.0041037 	
-874.449 	-0.00384506 	
-851.661 	-0.00396137 	
-828.79 	-0.00421142 	
-803.003 	-0.00427831 	
-782.944 	-0.00392097 	
-760.217 	-0.00386647 	
-737.636 	-0.00412432 	
-715.096 	-0.0043997 	
-690.713 	-0.00416051 	
-668.462 	-0.00407745 	
-646.026 	-0.00421587 	
-622.858 	-0.00418728 	
-600.01 	-0.00388744 	
-578.923 	-0.00374123 	
-556.023 	-0.00354938 	
-532.423 	-0.00342675 	
-509.667 	-0.00349906 	
-485.56 	-0.00375482 	
-460.232 	-0.00365208 	
-438.158 	-0.0038076 	
-415.888 	-0.00358855 	
-393.197 	-0.00349344 	
-370.483 	-0.00361811 	
-349.7 	-0.0037734 	
-327.651 	-0.0034763 	
-304.159 	-0.00330959 	
-279.885 	-0.00322535 	
-252.485 	-0.00331255 	
-231.851 	-0.00343537 	
-210.434 	-0.00353177 	
-187.85 	-0.00365308 	
-164.939 	-0.00358984 	
-141.773 	-0.00330843 	
-117.387 	-0.00354202 	
-96.2657 	-0.00349718 	
-73.1988 	-0.00349943 	
-50.8844 	-0.0031681 	
-27.6948 	-0.00306631 	
-6.45694 	-0.00323361 	
 17.3991 	-0.00318144 	
 41.2997 	-0.00313388 	
 63.792 	-0.0033086 	
 86.629 	-0.00325854 	
 113.61 	-0.00327565 	
 133.79 	-0.00308278 	
 155.284 	-0.00285457 	
 178.554 	-0.00273489 	
 201.913 	-0.00293709 	
 224.119 	-0.00293864 	
 245.685 	-0.00299949 	
 269.058 	-0.00281247 	
 292.396 	-0.00260064 	
 315.786 	-0.00250027 	
 341.602 	-0.00253602 	
 362.099 	-0.00255919 	
 385.057 	-0.00263007 	
 408.138 	-0.00234838 	
 430.752 	-0.00226253 	
 453.555 	-0.00253591 	
 475.088 	-0.00232288 	
 497.655 	-0.00233862 	
 520.955 	-0.00226299 	
 544.281 	-0.00199355 	
 569.881 	-0.00178362 	
 590.799 	-0.00175895 	
 613.929 	-0.00159426 	
 636.674 	-0.00169827 	
 659.439 	-0.00144142 	
 682.003 	-0.00119056 	
 703.307 	-0.00136616 	
 726.669 	-0.000936066 	
 750.098 	-0.000609978 	
 773.136 	-0.000454627 	

	
	
