Start Time:  5/5/2017 12:34:25 AM         Time Completed:  5/5/2017 12:34:46 AM     Elapsed Time:  00:00:21
Sample ID:     FORC_desvirgao2

Experiment:    C:\IDEASVSM\Default UserID\Experiments\FORCexp0177B\FORCexp0177B.exp
Data File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#353.txt
Plot File:     C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#353.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Experiments\FORCexp0177B\FORCexp0177B.stp
VSM Data File: C:\IDEASVSM\Default UserID\CarlosHernandez\FORC_floopy\FORC_desvirgao2 (ProfileData)\FORC_desvirgao2#353.dat

***DATA***

Field(G)	 Moment(emu)	
-2803.73 	-0.00490644 	
-2798.84 	-0.00478147 	
-2782.37 	-0.00479153 	
-2765.59 	-0.005108 	
-2746.45 	-0.00489421 	
-2724.8 	-0.00479931 	
-2703.64 	-0.00469399 	
-2680.91 	-0.00464772 	
-2657.57 	-0.00487952 	
-2633.85 	-0.00501096 	
-2606.48 	-0.00494671 	
-2585.06 	-0.00502551 	
-2563.46 	-0.00474299 	
-2540.67 	-0.00500513 	
-2517.08 	-0.00524347 	
-2489.72 	-0.0050903 	
-2469.37 	-0.00497874 	
-2447.24 	-0.00488239 	
-2424.38 	-0.00465904 	
-2401.52 	-0.00467776 	
-2379.21 	-0.0048163 	
-2357.12 	-0.00483052 	
-2334.31 	-0.00500103 	
-2310.58 	-0.00484343 	
-2287.32 	-0.00463267 	
-2259.76 	-0.00471846 	
-2239.74 	-0.00479692 	
-2218.35 	-0.00462443 	
-2195.43 	-0.00459505 	
-2172.2 	-0.00470314 	
-2147.07 	-0.00470268 	
-2125.89 	-0.00449949 	
-2102.97 	-0.00452116 	
-2079.35 	-0.00465378 	
-2056.61 	-0.00485572 	
-2033.91 	-0.00486938 	
-2012.42 	-0.00494285 	
-1988.89 	-0.00490207 	
-1965.57 	-0.00454939 	
-1942.29 	-0.00443709 	
-1916.19 	-0.00459782 	
-1896.2 	-0.00457666 	
-1873.29 	-0.004695 	
-1850.3 	-0.00465845 	
-1827.29 	-0.00441457 	
-1801 	-0.00440148 	
-1779.79 	-0.00455281 	
-1760.92 	-0.0046505 	
-1737.43 	-0.00480319 	
-1714.04 	-0.00453102 	
-1687.03 	-0.004275 	
-1665.8 	-0.00434125 	
-1643.35 	-0.00439539 	
-1621.01 	-0.00465234 	
-1597.89 	-0.00478278 	
-1570.74 	-0.00463827 	
-1550.15 	-0.0045142 	
-1528.67 	-0.00439683 	
-1506.07 	-0.00441383 	
-1483.21 	-0.00448381 	
-1461.45 	-0.0043385 	
-1439.2 	-0.00455613 	
-1415.55 	-0.00450107 	
-1392.4 	-0.00452051 	
-1369.11 	-0.00443286 	
-1342.92 	-0.00439694 	
-1321.61 	-0.00432576 	
-1299.42 	-0.00454128 	
-1276.88 	-0.00445244 	
-1254.05 	-0.00435304 	
-1231.7 	-0.00434312 	
-1209.96 	-0.00426974 	
-1186.93 	-0.00435796 	
-1163.36 	-0.00454862 	
-1140.18 	-0.00437444 	
-1113.87 	-0.00421812 	
-1093 	-0.00405705 	
-1070.97 	-0.00400903 	
-1048.05 	-0.00419331 	
-1025.75 	-0.00419505 	
-1002.72 	-0.00416146 	
-981.882 	-0.00400695 	
-957.651 	-0.00385989 	
-933.853 	-0.00389375 	
-910.837 	-0.00416329 	
-883.742 	-0.0042804 	
-863.343 	-0.00424193 	
-841.884 	-0.00410844 	
-819.404 	-0.00393462 	
-796.894 	-0.00415773 	
-774.239 	-0.00404929 	
-751.12 	-0.00385266 	
-728.467 	-0.00414082 	
-705.083 	-0.00418433 	
-682.091 	-0.00395217 	
-654.947 	-0.00382406 	
-634.437 	-0.00388115 	
-612.866 	-0.00380791 	
-590.461 	-0.00404296 	
-567.447 	-0.00419392 	
-544.28 	-0.00385519 	
-519.351 	-0.00390533 	
-497.616 	-0.00374566 	
-475.007 	-0.00363338 	
-452.387 	-0.00381333 	
-429.51 	-0.00383314 	
-407.271 	-0.00361794 	
-385.876 	-0.00357142 	
-363.284 	-0.00373541 	
-339.144 	-0.00379494 	
-315.704 	-0.00378972 	
-289.185 	-0.00356941 	
-269.141 	-0.00340256 	
-246.291 	-0.00340455 	
-223.534 	-0.0033949 	
-200.641 	-0.0033765 	
-178.026 	-0.00353934 	
-156.468 	-0.00329185 	
-133.87 	-0.00305668 	
-109.828 	-0.00310491 	
-87.4507 	-0.00341931 	
-60.5434 	-0.00331102 	
-39.4235 	-0.00322298 	
-17.3453 	-0.0034169 	
 5.48359 	-0.00344868 	
 28.383 	-0.00344537 	
 51.0554 	-0.00314661 	
 73.2182 	-0.00302523 	
 95.5866 	-0.0030482 	
 118.233 	-0.00312849 	
 142.233 	-0.00326291 	
 169.359 	-0.00290468 	
 190.159 	-0.00285461 	
 211.52 	-0.00252838 	
 234.045 	-0.00263409 	
 256.903 	-0.00288921 	
 279.977 	-0.00294723 	
 301.077 	-0.00261132 	
 324.096 	-0.00252467 	
 347.693 	-0.00282726 	
 370.98 	-0.00238424 	
 394.202 	-0.0021962 	
 420.191 	-0.00228761 	
 440.195 	-0.00239526 	
 462.68 	-0.00204217 	
 485.658 	-0.00200961 	
 508.538 	-0.00227895 	

	
	
